# Time-averaged data for fix avborn
# TimeStep c_born[1] c_born[2] c_born[3] c_born[4] c_born[5] c_born[6] c_born[7] c_born[8] c_born[9] c_born[10] c_born[11] c_born[12] c_born[13] c_born[14] c_born[15] c_born[16] c_born[17] c_born[18] c_born[19] c_born[20] c_born[21]
3100 281219 295813 140755 503655 441813 209036 -62422.7 82145.4 92788.7 8979.92 8207.47 86630.7 -88789.5 -9101.78 -13813.6 1828.42 -212.53 -653.007 -25444.7 -5502.63 98072.6
3200 281489 296123 140819 502782 442507 208542 -62436.3 82191 92897 9377.01 8043.46 86678.3 -89659.9 -9290.71 -13215.5 1425.7 -220.669 -599.977 -24490.7 -5885.95 97419.5
3300 282628 296986 140910 501937 444415 207651 -63323.2 82330.4 93630.2 11210.6 7951.68 86582.4 -91501.9 -10987.6 -12974.7 873.451 165.453 -577.926 -23779.5 -6322.1 96294.7
3400 283986 297999 140918 501979 444949 207032 -64383.6 82444.4 94573.4 11296.5 8163 86436.4 -93707.9 -10946 -13300 192.746 566.015 -612.068 -24058.1 -4839.28 94579.2
3500 285026 299054 140036 501027 446327 206781 -65130.8 82008.1 94935 10990.3 8486.44 86472 -94946.6 -9609.14 -13631 -404.521 1832.23 -738.61 -24554 -2543.06 93694.5
3600 287213 300418 140139 500609 450235 206453 -66727.9 82159.2 95802.7 12036.6 9129.39 86401.6 -96350.2 -9779.67 -14115.9 -750.859 2173.42 -728.5 -23967.5 -184.89 93741.7
3700 288309 300458 140163 498797 453044 206525 -67208.3 82329.6 95160 12591.7 9615.77 86171.9 -94964.4 -9298.79 -14151.5 -591.737 2550.89 -633.8 -22890.9 1894.9 95493.6
3800 288352 299914 140252 497879 453878 206832 -66912.7 82461.7 94191.9 13736.6 9806.47 86073.1 -92973.7 -9962.46 -14113.6 -81.7529 2815.5 -622.937 -21900.7 2863.76 97206.9
3900 287994 299339 140426 497002 454110 207156 -66239.5 82715.5 92945.7 13797.7 9887.92 86019.4 -90943.4 -9595.64 -14065.4 588.198 2775 -627.454 -21633.5 3352.47 98277.5
4000 287699 299183 140544 496430 454208 207066 -65928.2 82767 92317.3 12423.5 9739.27 86010.6 -90168.5 -8812.57 -14074.7 672.524 2345.36 -706.44 -22017.4 2774 98702.7
4100 287923 298844 140599 494840 454788 206712 -65890.8 82682.1 91766.5 10708.3 9329.42 86005 -89066.7 -7583.39 -13615.2 818.196 2022.44 -800.079 -21927.9 2448.24 99341
4200 288625 299004 140639 495073 454919 206396 -66219.1 82644.1 92716.6 9347.33 8660.27 86035.9 -90530.2 -6872.9 -12905.3 586.824 1695.58 -882.194 -20770.3 1662.9 98489.1
4300 288879 299758 140741 495213 454304 205953 -66529.8 82587.3 92909 7930.34 8063.92 86218.7 -91440.5 -5876.7 -11960.6 258.464 1274 -860.454 -19601.4 1399.55 97686.2
4400 289604 300422 139958 495646 454954 205802 -67113.4 82359.8 93269.4 6923.08 7425.73 86193.7 -92155.2 -4848.76 -11015.9 174.225 1763.69 -1047.29 -19794.6 799.68 97177.5
4500 289852 300717 140030 495714 456854 206084 -67414.8 82426 92799.7 4952.79 7099.35 86048.1 -91449.5 -3341.7 -10696.5 352.841 1345.1 -1173.1 -21718.3 -533.266 98380.7
4600 290575 300884 140031 494793 457448 206076 -67812.1 82430.4 92221.9 4168.63 6617.52 85955.3 -90819.8 -2870.19 -10237 390.704 1265.55 -1200.52 -21854.5 -1542.36 98744.9
4700 291180 301200 139612 494733 458000 206706 -68045.2 82147.5 91589.8 4053.21 6552.22 85852.9 -89708.5 -3088.63 -9979.51 390.873 792.535 -1135.31 -21051.2 -1185.84 99237.3
4800 291537 301619 139706 495674 459219 207518 -68290.2 82252 91273.3 4583.42 6893.9 85820.2 -89175.3 -3774.06 -10299.5 486.105 687.508 -1125.73 -21055.5 -1311.37 99627.8
4900 291267 301273 139730 495032 458956 207734 -67868.8 82299.6 90851.5 4773.55 6780.71 85722.1 -88089.2 -4096.82 -10221.1 698.429 746.791 -1062.64 -20772.3 -1821.39 100275
5000 290479 300810 139748 495316 457228 208176 -67135 82271.2 90250.8 4074.52 6705.28 85738.5 -86757.5 -3944.77 -10514.3 980.854 695.231 -996.777 -20934 -1999.85 100811
5100 290176 300759 139784 495663 455972 208225 -66864.2 82300.7 90200.9 3997.31 6209.41 85763.8 -86458.1 -4019.56 -9771.5 1187.88 676.228 -946.844 -19847.5 -2614.69 100799
