# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
100 0.0153393 0.0154272 0.0148021 0.0455687 178.897
200 0.0574123 0.0669002 0.0629931 0.187306 209.992
300 0.107339 0.123596 0.118314 0.349249 256.077
400 0.151704 0.168654 0.142156 0.462514 285.718
500 0.194338 0.193548 0.167906 0.555791 304.554
600 0.216579 0.213297 0.186367 0.616244 311.039
700 0.236123 0.251261 0.207938 0.695322 311.28
800 0.244843 0.293288 0.227695 0.765826 303.848
900 0.248222 0.269663 0.217307 0.735192 297.338
1000 0.253952 0.268549 0.230567 0.753068 289.511
1100 0.25562 0.291878 0.236466 0.783965 283.266
1200 0.276642 0.280591 0.258688 0.815921 308.449
1300 0.300457 0.284855 0.279008 0.864319 318.433
1400 0.310281 0.307343 0.274745 0.892369 290.896
1500 0.329281 0.323046 0.294103 0.94643 287.239
1600 0.318356 0.331138 0.309124 0.958618 304.486
1700 0.295383 0.319483 0.310328 0.925194 302.744
1800 0.281509 0.299496 0.288537 0.869542 309.24
1900 0.278412 0.267235 0.256428 0.802076 306.365
2000 0.256709 0.236829 0.230246 0.723785 294.675
2100 0.240236 0.23584 0.222146 0.698222 288.85
2200 0.252334 0.261218 0.235543 0.749096 290.976
2300 0.258549 0.254875 0.231148 0.744572 314.897
2400 0.277996 0.271592 0.235 0.784589 304.762
2500 0.300088 0.303851 0.249034 0.852974 297.248
2600 0.318183 0.315308 0.257096 0.890587 290.998
2700 0.328081 0.345953 0.259928 0.933961 316.021
2800 0.310887 0.328 0.246903 0.885789 315.134
2900 0.31089 0.29947 0.25275 0.86311 305.882
3000 0.322854 0.299634 0.270554 0.893041 291.94
3100 0.319232 0.30039 0.295349 0.914971 299.609
3200 0.326281 0.33053 0.308596 0.965408 299.977
3300 0.340457 0.333156 0.309857 0.98347 306.183
3400 0.348678 0.317918 0.306496 0.973092 314.399
3500 0.369657 0.326571 0.304849 1.00108 304.193
3600 0.375268 0.305522 0.291316 0.972106 298.651
3700 0.353255 0.273078 0.272545 0.898878 294.952
3800 0.351867 0.308445 0.293167 0.953479 282.819
3900 0.360386 0.318411 0.297431 0.976228 298.833
4000 0.346068 0.299471 0.279129 0.924669 296.848
4100 0.349767 0.309856 0.297469 0.957093 300.889
4200 0.347819 0.317408 0.292209 0.957435 300.958
4300 0.31469 0.283831 0.293288 0.891809 298.818
4400 0.337291 0.278703 0.301648 0.917641 310.875
4500 0.360117 0.280024 0.28618 0.926321 313.247
4600 0.360337 0.293203 0.294694 0.948234 295.102
4700 0.356032 0.305276 0.306916 0.968223 296.499
4800 0.342328 0.312295 0.306492 0.961114 289.357
4900 0.330349 0.303497 0.292441 0.926288 308.07
5000 0.319614 0.273103 0.283199 0.875916 313.819
