# Time-averaged data for fix avborn
# TimeStep c_born[1] c_born[2] c_born[3] c_born[4] c_born[5] c_born[6] c_born[7] c_born[8] c_born[9] c_born[10] c_born[11] c_born[12] c_born[13] c_born[14] c_born[15] c_born[16] c_born[17] c_born[18] c_born[19] c_born[20] c_born[21]
500 329553 338987 159746 473078 434442 190439 -65753.3 97661.8 109036 20168.9 -4144.51 100166 -111146 -12807.2 17653.3 -3442.69 2788.52 1812.79 38906.3 2656.44 86990.7
1000 314101 314415 160265 409409 415802 173990 -51301.5 98806.1 86836.5 2506.44 -4229.09 96748.1 -89331.5 2393.83 13710.9 -1315.12 1989.28 2222.58 31613.6 14833.2 83817.8
1500 304724 313975 161618 412745 418120 177762 -51517.2 99312.6 85176.7 -12405.4 -5418.49 97192.5 -83946.8 21018.5 10115.4 737.396 3139.25 701.595 13207.8 15410.7 90206.6
2000 302095 307996 161057 404792 408664 176450 -46375.3 99082.6 84044.8 -11430 -5007.29 96819.2 -85738.8 17414.6 8324.07 -1739.34 2544.52 131.855 3152.76 9140.02 85489.2
2500 298352 302442 161142 393770 397508 172900 -40651.8 98670.7 79094 -16832 -7722.49 97499.7 -79308.3 17415.3 11125.7 -1992.32 631.959 690 8536.89 2819.67 83463.3
3000 298347 302099 161449 388637 392400 169794 -39820.3 98294.6 79549.9 -13631.9 -5397.83 97876.6 -81048 14630.3 8004.18 -2616.93 -246.472 932.114 6155.03 3572.61 82895.1
3500 303141 306418 162627 401759 398920 171231 -43086.7 98761.4 81817.6 -11009.5 -6420.8 98802.9 -83329.6 10766.6 8440.15 -3134.45 -378.011 913.107 5784.38 -1431.57 81781.6
4000 297915 303359 162701 406461 390398 173435 -38726.8 98281 82180.9 -6495.23 -5969.23 99389 -82691.3 4944.87 6512.93 -2719.83 -436.179 -161.008 -1862.74 -11628.1 82298
4500 301374 305030 162717 405544 397581 173293 -40816.1 98867.4 82702.6 -3496.97 -3418.77 98824.5 -83561.8 4271.35 4539.51 -2856.61 761.219 -292.629 -2365.39 -7551.6 82381.3
5000 298746 303282 162284 400984 390163 172802 -37656.1 98425.8 80913.3 -2204.09 -2918.25 99117.6 -81347.3 3289.44 3507.98 -2552.75 1348.54 -72.8884 -1985.83 -5520.62 80572.5
5500 298450 302847 162268 404346 389774 174327 -36862.8 98496.9 80765.3 -506.53 -2981.63 99367.8 -80261.8 1888.22 3668.54 -2471.76 1087.43 90.5975 -855.196 -5886.07 81371.3
6000 299518 300322 162109 407963 393117 176098 -38590.8 98242.3 80245.8 -1824.46 -4103.73 99677.2 -78591.9 2222.33 5584.98 -1730.22 547.111 519.938 3206.3 -4827.55 83501.4
6500 296074 299743 161951 404163 392152 174677 -38305.3 98401 80223.7 26.1562 -4444.26 99523 -78134.6 -172.898 5674.49 -1337.14 -560.414 547.085 3714.94 -7945.61 83412.7
7000 295049 298361 161816 399707 388150 173719 -36982.3 98356.1 79028.5 -3635.27 -4876.14 99331.2 -76960 1428.8 5752.38 -1113.38 -1261.96 298.016 2855.83 -8627.06 82850.5
7500 296016 299560 162036 401959 389939 174445 -37636.2 98519.1 79453.8 -6127.09 -4561.28 99438.2 -77892.3 3389.1 4851.61 -1335.17 -1734.59 159.317 1419.57 -6693.57 82645.7
8000 297684 300536 161910 402588 391490 174718 -38490.6 98505.2 80152.5 -4668.82 -4124.38 99434.7 -79672.3 2390.61 4174.72 -1771.54 -1710.27 -46.7911 866.232 -5959.88 81581.2
8500 299896 302833 162011 405283 394297 174847 -40351.8 98466.4 82413.6 -2775 -4248.91 99595.9 -82973.6 1514.9 4776.78 -2523.3 -1378 345.542 3059.42 -5037.7 80560.2
9000 300544 303251 162314 406217 397099 175779 -40373.6 98754.1 81565.3 -5174.03 -4455.13 99586.8 -81437.3 3116.15 4578.37 -2423.51 -1748.64 233.832 2382.79 -3414.85 81788.2
9500 303033 301632 162311 405312 401670 175674 -42031.3 98945.3 81314.8 246.598 -3348.79 99494.7 -80967.5 -297.832 3495.46 -2314.04 -652.56 282.548 2470.82 -2305.74 82634.6
10000 302866 301826 162281 404261 399658 174787 -41945.3 98757.2 81676 2482.41 -3169.07 99630.7 -82082.5 -1534.82 3819.27 -2853.22 -191.985 520.642 4092.58 -2438.7 81011.1
