# Time-averaged data for fix vir
# TimeStep c_virial[1] c_virial[2] c_virial[3] c_virial[4] c_virial[5] c_virial[6]
90 -1750.49 -14400.5 -484.232 -8456.13 -9034.24 2174.65
91 -3624.19 -12925.8 -601.533 -6301.07 -6567.79 2090.05
92 -5240.63 -10897.9 -422.481 -3432.88 -2990.23 2361.67
93 -6056.37 -8528.8 140.96 -177.34 1699.6 2701.88
94 -5827.5 -6205.97 1035.81 2535.37 6601.87 3205.31
95 -4443.68 -4643.82 2004.15 3390.87 10035.3 4908.5
96 -2067.66 -4442.07 2758.84 1296.99 10620.2 8575.4
97 675.991 -5506.25 3107.75 -3123.69 9017 12411.2
98 2317.5 -6663.97 3078.28 -7795.46 7493.84 11568.4
99 1333.46 -6734.51 2523.16 -11008.2 6930.22 3501.02
100 -1940.31 -5673.88 1569.25 -12373.3 5566.33 -7531.79
101 -5563.65 -4997.75 288.607 -12033.5 1288.85 -14470.4
102 -8034.43 -5533.07 -1136.13 -10713.8 -5058.59 -15254.7
103 -8840.27 -6671.48 -2250.83 -9652.87 -10280.7 -12543.8
104 -8136.31 -7967.72 -2906.56 -9454.92 -12362.7 -9022.58
105 -6518.69 -9469.84 -3300.27 -9789.22 -11505.6 -5672.55
106 -4719.77 -10959.8 -3490.64 -9910.15 -8499.05 -2790.21
107 -3107.63 -12081.5 -3416.35 -9250.85 -4169.99 -209.814
108 -2032.64 -12488.6 -3066.53 -7495.55 541.625 2823.1
109 -1959.08 -11546.7 -2524.9 -5193.95 3911.76 7752.75
110 -3246.38 -7900.05 -1580.84 -4103.39 3520.58 16509.6
111 -5457.53 -1779.22 -78.2395 -5033.36 -929.74 26837.4
112 -7670.94 3527.1 1268.6 -5592.85 -5374.27 31511.2
113 -9873.56 5824.9 1605.22 -4595.36 -7242.77 27486.8
114 -11692.5 5625.96 1280.7 -2641.12 -5879.11 16697.4
115 -12902.2 5288.74 1180.58 -2536.7 -3000.44 6061.92
116 -12995.9 5098.04 1357.26 -4881.96 1027.03 -66.3962
117 -10724 3233.42 1522.08 -6949.11 7101.05 -2585.31
118 -6027.17 -1017.47 1562.91 -6840.12 13159.5 -2535.28
119 -1597.01 -5839.71 1263.91 -5073.05 15059.5 -893.156
120 -375.76 -8346.16 725.718 -3511.84 10511 645.491
121 -2952.6 -7310.9 176.992 -3442.83 1533.13 598.204
122 -6558.62 -4875.84 -151.036 -4215.42 -6790.48 -867.651
123 -8373.37 -3763.29 -432.162 -4684.31 -10460.7 -2715.73
124 -8232.15 -4468.16 -604.899 -4525.75 -9414.34 -4296.34
125 -7611.43 -5401.45 -516.644 -3701.82 -6151.64 -5896.72
126 -7803.08 -5196.94 -190.663 -2141.11 -3089.59 -8207.43
127 -8809.06 -3573.67 385.342 84.3019 -1007.95 -11227.5
128 -9730.34 -1673.65 992.229 2429.94 693.645 -13707.2
129 -9582.75 -618.108 1507.06 4194.6 2801.63 -14028
130 -8330.53 -723.181 1920.87 4964.11 4839.47 -11340.8
131 -6258.14 -1624.89 2430.95 4772.4 5951.83 -6119
132 -3562.46 -2738.15 3445.49 4078.53 6332.69 651.035
133 -955.007 -3275.39 4871.58 3469.88 7069.36 7949.94
134 -14.4988 -2557.97 5974.75 3388.07 8302 14256.8
135 -1390.83 -900.009 5969.75 3735.01 8815.2 17603.9
136 -3745.29 -258.511 4457.44 3296.69 7031.94 15984.8
137 -5031.09 -1936.52 1997.08 1566.97 3159.93 10046.8
138 -4547.64 -5103.36 -284.371 172.616 -180.327 3340.37
139 -3662.35 -7063.03 -1702.71 968.493 -2208.29 -3063.55
140 -4830.15 -4602.79 -1946.4 5216.84 -5449.53 -13204
141 -8415.95 2607.57 -1031.92 12316.5 -10642 -27561.1
142 -12350.7 9174.97 6.71769 19229.5 -14879.6 -39202
143 -15461.7 12020.7 538.85 24133.4 -16543.1 -44466.3
144 -14722.6 8772.85 122.133 24709.5 -13240.1 -38567.3
145 -12281.5 2710.28 -1615.08 22474 -7640.67 -27552
146 -9734.09 -4071.57 -4413.82 18274.4 -2062.91 -15674.5
147 -8502.87 -8522.1 -6522.62 13312 1028.8 -6628.35
148 -9571.23 -9506.65 -7271.14 8878.42 100.744 -2535.13
149 -11191.9 -9257.85 -7266.04 4781.05 -2711.13 393.29
150 -12023 -8557.29 -6713.37 1677.27 -5142.05 3528.44
151 -12032.4 -7172.06 -5582.77 817.701 -5010.06 6700.52
152 -11329.3 -4993.99 -3972.51 2067.69 -1036.15 9384.93
153 -10347.7 -2514.61 -2250.05 3262.97 4903.34 9508.85
154 -10037.1 -632.189 -1025.11 2829.81 9391.14 6403.32
155 -10766.1 241.502 -509.394 2091.74 10699.6 2567.99
156 -12014.1 458.156 -257.362 3392.06 10167 1900.53
157 -12594 82.9473 25.7587 6175.94 9337.98 4891.94
158 -11658.9 -1786.11 59.8658 7348.85 8263.78 7727.51
159 -8863.98 -5410.33 -255.246 5958.84 7967.23 7863.06
160 -5205.97 -9557.28 -644.93 3987.14 9623.13 5848.27
161 -2659.66 -12425.1 -801.869 3116.58 12704.3 2944.82
162 -2455.01 -13261.2 -974.284 3269.09 15103.2 -443.789
163 -3720.36 -12944.6 -1149.8 3163.62 13886.4 -3883.68
164 -3805.26 -13310.7 -625.956 1715.15 6664.14 -6100.88
165 -2061.4 -14871.3 326.285 -85.145 -3245.93 -6208.33
166 -1845.3 -15676.6 361.495 -15.459 -8149.13 -4876.84
167 -5418.89 -14171.9 -1079.44 2538.43 -5430.2 -3131.36
168 -11037.5 -10622.8 -2676.66 6595.38 997.269 -1339.57
169 -14997.4 -7128.61 -2990.61 10561.6 4317.38 714.266
170 -17176 -4745.53 -2500.9 13049.3 3455.12 1807.02
171 -18369.6 -3709.58 -2219.72 12291.4 -336.615 337.435
172 -18929.6 -3956.81 -2391.23 8152.53 -6323.09 -3817.14
173 -18784.7 -4038.58 -2198.66 2287.01 -13574.2 -10292.2
174 -18707 -1664.92 -890.742 -3847.1 -19266.6 -19442.6
175 -20743.1 5048.27 969.127 -9551.37 -17729.1 -30408.9
176 -24196.7 12145.4 2058.37 -12332.6 -7693.2 -35961.8
177 -25508.7 13530.4 1525.76 -10316.9 4684.57 -30054.3
178 -22344.9 7667.45 237.964 -5134.01 11017.8 -15052.9
179 -17411.2 -464.485 -1075.32 -616.605 9807.73 -560.222
180 -13636.3 -7073.72 -2355.14 1536.51 4337.8 7887.77
181 -10934.2 -12178.1 -3402.23 2090.33 -1963.54 11744.2
182 -9324.16 -15586.5 -4105.37 1706.32 -6554.43 13307.1
183 -9302.72 -16949.2 -4534.78 930.047 -8716.2 13929.6
184 -10812.7 -16511.3 -4852.85 626.02 -8702.95 14506.9
185 -12755.9 -14866.4 -4950.87 1839.93 -6791.41 15985.3
186 -14190.6 -12723.8 -4715.1 4521.76 -3775.85 17918.1
187 -15048.2 -10749.7 -4623.36 6579.33 -2209.73 17174.9
188 -15652.7 -9330.58 -5146.7 6039.67 -3764.81 12073.1
189 -15997.2 -8583.03 -5931.53 3557.97 -6150.24 5688.05
190 -16113.6 -8392.13 -6474.24 626.185 -6200.54 1316.39
191 -16856.7 -7886.95 -6635.26 -2578.35 -3791.26 -1759.8
192 -18952.3 -5242.82 -6214.33 -6850.75 -1342.22 -5206.39
193 -21478.8 -580.779 -5241.4 -12338.3 -716.376 -8050.68
194 -21582.4 2525.79 -4173.44 -16217 50.6433 -9176.15
195 -17573.3 223.222 -3860.97 -15447.2 3768.59 -8628.48
196 -11241.1 -6209.18 -4578.99 -10487 8685.24 -6752.91
197 -5874.17 -12481.4 -5692.81 -5067.74 10826.5 -3482.32
198 -3374.52 -15506.5 -6627.2 -2660.66 7639.55 1841.43
199 -3235.52 -14888.1 -6816.97 -3223.25 -1.56226 7861.45
200 -3399.6 -12098.4 -5885.83 -5152.25 -8809.06 12201.3
201 -4030.73 -8827.43 -4695.75 -7048.1 -16339.9 12505.8
202 -6458.17 -5652.18 -4250.31 -8071.39 -21424 7325.16
203 -10301.9 -2475.2 -4223.28 -7889.24 -22772.6 -2394.34
204 -13900.3 626.937 -3977.55 -7064.16 -20531.1 -13176
205 -16165.1 3173.27 -3388.58 -6325.16 -16052.5 -22089.5
206 -15965.3 3983.44 -2400.99 -6222.52 -10083.3 -27492.5
207 -12680.6 1861.16 -1120.71 -6960.79 -3237.97 -27896.7
208 -7172.91 -3352.63 -1.00045 -7801.17 2895.43 -22232.7
209 -1453.31 -9998.63 678.661 -7580.88 6734.47 -11437.7
210 2639.45 -15489 1059.6 -6306.45 8219.71 260.277
211 4159.56 -18025.4 1383.32 -4753.94 8759.97 8280.3
212 4064.57 -18222.2 1761.97 -3483.92 9684.29 11484.4
213 4234.11 -18202.4 2437.61 -2781.69 10337.8 11845.8
214 6656.98 -20077.2 3952.02 -3334.4 7027.4 12167.8
215 11215.8 -23503.4 6625.83 -4968.03 -1878.92 13609.3
216 12056.3 -23892.6 8389.81 -4787.54 -8085.67 14242.6
217 5437.9 -18713.5 7609.62 -1327.59 -5498.02 11603.9
218 -4850.54 -10194.8 6101.91 3113.05 1427.31 5425.97
219 -12372.6 -3360.42 6008.62 4994.05 4561.28 -2452.12
220 -15774.3 -271.307 6784.3 4173.97 4148.99 -9416.26
221 -15380.3 -1058.2 7418.93 2361.47 3209.2 -13080.6
222 -12026.8 -4860.45 7562.98 767.373 3048 -12559.3
223 -7210.13 -9708.64 7454.72 97.8126 3967.13 -9291.9
224 -2602 -13620 7487.91 402.647 5523.01 -5673.31
225 733.441 -15864.8 7632.86 1364.1 6690.17 -2912.44
226 2717.32 -16538.3 7844.53 2449.55 6266.17 -1244.03
227 3200.99 -15745.2 7993.51 3354.63 4270.37 -517.894
228 1962.5 -13441.2 7859.49 3669.51 2467.55 -856.764
229 -1096.11 -9233.14 7500.17 3210.62 2893.32 -2916.86
230 -5451.77 -3169.63 7209.56 2158.52 6055.49 -7222.2
231 -9484.23 3499.8 7255.54 1463.87 10479.9 -12242.6
232 -11240.1 8409.06 7515.73 2506.63 14238.7 -14052.2
233 -9654.5 9432.75 7731.63 5153.47 16069 -10430.9
234 -5320.9 6534.24 7468.64 7622.24 14987.7 -2953.17
235 -313.5 2127.93 6873.76 8138.25 11437.1 3922.89
236 2887.92 -805.873 6182.71 6676.94 7463.25 6952.5
237 3962.34 -1544.4 5562.12 4968.07 5261.54 7356.83
238 4272.57 -1288.53 5138.6 4658.93 5537.45 8069.54
239 5291.55 -1389.3 5055.13 5798.89 7253.31 10124.3
240 7498.24 -2400.46 5235.12 7166.79 8765.96 12535.3
241 10535.4 -4165.91 5545.9 7411.93 8475.08 13459.4
242 13094 -6046.68 5543.29 6055.76 5854.93 11779.4
243 13691.7 -6917.31 5083.53 3938.93 1819.64 7908.12
244 11547.1 -5919.49 4260.48 2462.33 -1177.65 3496.75
245 7448.15 -3275.47 3297.69 2336.92 -1712.41 98.2401
246 3012.63 56.8464 2678.74 3558.3 -655.26 -1452.4
247 -889.239 3672.25 2542.12 5966.65 381.552 -1338.86
248 -4238.23 7700.34 2973.09 9445.04 723.067 -103.708
249 -6929.15 11602.8 3732.26 13241.9 531.103 1414.34
250 -8405.73 13789.2 4361.84 15702.4 -182.581 2167.28
251 -8322.98 13165.9 4412.01 15775.8 -1309.19 1504.39
252 -6998.86 10535.8 3968.18 14003.3 -2161.03 499.87
253 -5109.17 7423.17 3409.22 11805.2 -1665.14 1568.27
254 -3209.69 5376.98 3109.27 10131.2 424.01 6151.5
255 -1700.89 5247.24 3496.54 8986.19 3166.92 13124.4
256 -474.981 6344.32 4354.88 7223.38 5739.45 18609
257 1298.75 6922.46 5355.91 3859.64 8242.59 18190.1
258 4461.25 5971.19 6433.78 -966.405 10446.4 11016.9
259 8682.47 3985.8 7667.48 -5670.94 11050.4 1186.89
260 11027.4 2290.59 8517.51 -8403.4 10124 -5911.4
261 9801.57 1524.97 8376.29 -8488.66 8869 -8408.92
262 6648.92 1360.36 7908.71 -6772.28 8438.58 -7713.39
263 4508.96 1228.21 7888.57 -5121.28 8039.98 -6578.92
264 3516.51 678.942 7996.85 -4458.87 5567.82 -6024.59
265 2284.47 643.803 7915.3 -4132.57 578.68 -5338.06
266 158.152 1997.76 7859.84 -3154.91 -4293.22 -3855.39
267 -2590.18 4756.08 8266.59 -1285.77 -6026.48 -2097.86
268 -5497.54 7566.46 8796.15 620.086 -4832.28 -1507.1
269 -8065.07 8878.58 9104.06 1869.36 -2896.04 -2198.94
270 -9478.81 7986.56 9126.03 2268.96 -2067.94 -3341.06
271 -9323 5860.69 9241.05 2352 -2377.79 -3843.69
272 -8298.56 3821.77 9555.59 2706.47 -2451.88 -2789.85
273 -6904.48 2242.39 9872.41 2857.71 -1889.14 -829.204
274 -5102.54 991.871 10236.3 2058.45 -1211.44 1133.07
275 -2594.09 -123.565 10752.2 266.999 -538.53 3188.96
276 1031.9 -1263.5 11791.6 -1721.59 285.478 5574.32
277 6256.66 -3317.81 13269.4 -2779.87 828.059 8322.57
278 13197.7 -7187.6 14832.7 -2481.05 -147.692 11340
279 20078 -11964.6 15911.7 -1332.97 -2539.07 14317.7
280 22887.8 -14102 15976 -114.011 -4063.14 16241.2
281 19864.7 -12063.5 14815.4 842.579 -3172.4 15745.3
282 14013.5 -7547.62 13439.9 1389.58 -1147.31 11791
283 9542.42 -2925.2 13018.5 1294.76 -101.258 4064.94
284 7271.41 1227.92 13704.4 714.807 -186.752 -5617.44
285 5444.82 4589 14154.7 13.7871 -2375.42 -12315.1
286 2842.86 6714.05 13422.7 -972.935 -7392.91 -12526.9
287 93.812 7902.99 12010.2 -2338.5 -12745.4 -8261.45
288 -1122.2 7976.16 10805.1 -2929.58 -14335.4 -4385.39
289 -714.886 7053.37 10015.6 -1987.93 -11721.5 -3660.78
290 -407.176 6383.9 9422.34 -473.36 -8258.1 -5765.05
291 -1665.56 6964.31 8759.91 -176.936 -6646.25 -8458.58
292 -3830.9 8239.48 8089.27 -1441.32 -6929.03 -9435.65
293 -5109.97 8890.73 7728.36 -2827.2 -7211.15 -7709.84
294 -4689.88 7982.27 7384.79 -2315.2 -5867.68 -4638.95
295 -2584.13 5643.63 6906.75 1025.89 -2028.09 -2857.43
296 1664.1 2070.13 6434.09 6373.84 5239.19 -3266.41
297 7896.51 -2371.9 6285.76 11496.2 14390.7 -4114.2
298 12103 -5497.94 5793.52 13409.2 18358.1 -3261.39
299 11243.4 -6100.53 4339.84 11060.1 13250.7 -224.171
300 6606.81 -3956.1 2784.98 5791.78 2399.91 3070.81
301 1987.06 -359.771 2272.21 -224.514 -6362.82 3498.19
302 -1333.5 3143.77 2424.9 -5555.78 -10160.4 958.973
303 -2746.99 4626.61 2167.61 -9078.67 -12175.1 -611.922
304 -1961.5 2861.81 1037.79 -10435.1 -14602.3 837.895
305 200.87 -209.358 -132.123 -10219.1 -15935.9 2441.48
306 1799.52 -1620.34 -364.212 -9779.8 -12227.8 -511.692
307 1792.26 -349.752 469.833 -9954.31 -1919.55 -9014
308 -70.6792 3839.11 2164.19 -10869.7 11613.5 -20706.6
309 -3648.6 8565.79 3711.09 -11406.9 21255.3 -30115.4
310 -6808.39 9940.78 4044.74 -9830.67 22686.9 -31535.2
311 -7067.32 6723.85 3290.05 -5847.38 18555.5 -24455.3
312 -4263.51 1047.97 2517.05 -792.168 15284.9 -13561.7
313 730.011 -4728.27 2556.1 4038.16 17475.5 -3386.25
314 6491.56 -9209.13 3612.97 7919.05 24417.4 4699.28
315 9381.56 -10494.7 4667.67 10235.6 29945.8 10971.1
316 7001.53 -7214.73 4895.79 10978.7 28906.3 15758.7
317 802.275 -1100.64 4389.25 10332.2 21852.5 18242.4
318 -5260.69 4013.43 3900.06 8442.41 13197.3 17650.6
319 -9254.38 5847.66 3661.56 5647.55 6204.44 14493.4
320 -11357.3 5156.73 3746.57 2957.78 1468.85 9628.72
321 -12389.9 4290.95 4336.52 2558.65 -1267.97 3499.23
322 -13229 5155.15 5572.21 5918.8 -3524.73 -4581.78
323 -13484 6593.13 6963.99 10575.4 -6308 -12561.7
324 -12378.5 4943.13 7253.87 12040.1 -8604.8 -15047.3
325 -10002.2 -3.62106 6369.76 9965.74 -10553.2 -12428.3
326 -6892.2 -5020.28 5608.11 7801.63 -13571.5 -10087.8
327 -3951.74 -9187.7 5303.21 6919.65 -16356.3 -9269.78
328 -1901.13 -12877.5 5093.62 6017.8 -15605.2 -7219.38
329 -1863.17 -15671.3 4549.39 4496.85 -10305.4 -3602.8
330 -4292.43 -16297.4 3866.42 2776.12 -2155.71 -461.619
331 -8191.05 -14770.9 3359.84 1437.77 6004.88 1167.41
332 -11863.4 -12521.7 3170.74 704.3 11777.8 2033.03
333 -14460.2 -10656.8 3087.07 784.93 14513.5 3309.47
334 -15918.5 -9757.79 3023.48 1618.46 14767.3 5062.22
335 -16344 -9787.38 2795.01 2824.95 13294.1 6315.4
336 -16026.9 -10454.7 2458.45 3893.49 10675.6 5892.97
337 -14925.5 -11359.5 2271.13 4552.28 7652.58 3610.76
338 -13227.3 -12498.5 2324.93 4478.26 4581.48 1053.95
339 -11038.7 -13460.2 2755.77 2779.92 1098.41 1022.44
340 -9509.95 -13213.4 3302.48 -1067.29 -3978.73 4908.76
341 -9338.77 -11688.8 3364.27 -5187.06 -9299.77 9958.98
342 -10362.4 -10187.6 2290.98 -6680.37 -11810.9 12224.6
343 -11588 -9487.62 506.246 -4647.93 -10072.2 11409.7
344 -12179.2 -8597.15 -780.506 -708.313 -5956.84 11161.1
345 -12380 -6674.74 -1116.31 3419.64 -2243.65 14797.2
346 -12285.1 -3442.76 -594.965 6800.89 -889.017 20217.3
347 -12070.2 291.171 82.4843 7855.91 -4079.76 21201.3
348 -11518.8 3015.23 460.9 6341.32 -11090.5 13560.3
349 -10302 4267.31 427.157 4393.27 -17029.3 -228.087
350 -8633.13 5099.04 377.096 5381.93 -15742.9 -10802.6
351 -6524.48 4915.63 125.31 9118.83 -8656.96 -11058.6
352 -3355.35 1366.19 -780.997 10680.1 -4240.3 -5768.56
353 495.791 -4861.38 -1760.3 7697.52 -5918.01 -3377.89
354 2492.88 -9056.24 -2573.9 3333.25 -8115.11 -5061.72
355 508.397 -8568.17 -3549.83 869.064 -6079.09 -7046.8
356 -3923.7 -5489.74 -4598.34 -520.514 -3097.3 -6258.4
357 -8091.27 -2737.17 -5497.02 -2678.65 -3564.63 -2160.65
358 -11485.3 -267.149 -5892.29 -5980.49 -6632.72 1783.35
359 -14711.1 3305.43 -5492.21 -9388.95 -9972.87 719.415
360 -17000.1 6643.24 -4647.8 -11946.1 -13338.3 -4429.88
361 -15504.2 5232.51 -4389.02 -13519.4 -16591.4 -7339.77
362 -9677.3 -2026.05 -4992.7 -13811.2 -19832.4 -5398.59
363 -3902.87 -8632.76 -5412.38 -11845.1 -23610 -3736.84
364 -2910.37 -8810.17 -5088.99 -7726.65 -26706.2 -7097.57
365 -6126.4 -4652.77 -4534.77 -4131.73 -25522.7 -12150.1
366 -10664 -455.174 -4452.47 -2989.19 -18149.1 -13809.7
367 -13837.8 1747.58 -4524.59 -3430.27 -8036.62 -10979.7
368 -15181.2 3043.77 -4014.16 -2900.2 -745.248 -6880.75
369 -15656.4 4170.16 -2811.27 -549.483 2086.98 -3409.31
370 -14776.5 3244.13 -1241.4 1436.02 2652.34 1389.52
371 -12378.1 -513.745 277.969 1278.13 2394.82 7479.77
372 -8929.77 -5678.45 1608.55 -751.072 1259.11 12070
373 -5722.6 -9756.09 2751.11 -4302.54 -878.306 11355.9
374 -4069.12 -9838.93 3937.22 -10035 -2381.37 2687.96
375 -3311.64 -7354.9 5356.18 -15676.9 -2525.6 -8591.37
376 -1771.12 -7760.35 6327.51 -17108.3 -2437.9 -12978.2
377 614.455 -11530.8 6699.32 -13316.3 -1203.43 -7996.98
378 2742.27 -13258 7431.72 -5854.21 5472.3 2868.45
379 4354.68 -11450.3 8815 2180.65 18432.5 14251.1
380 6655.5 -12130.8 9798.3 5447.4 26948.2 19639.4
381 8233.36 -16777.2 9179.64 1418.52 23108.7 15785.5
382 7282.67 -20338.6 7532.77 -5218.81 11987.2 8773.61
383 3340.91 -18913.3 5903.39 -9474.19 1009.07 4494.58
384 -1439.88 -14228.3 5229.49 -9958.02 -4391.66 3995.13
385 -5026.62 -9287.7 5668.37 -6866.88 -2538.36 5751.64
