# Dipole correlation
# Timestep Number-of-time-windows
# Index TimeDelta Ncount v_dipole_x*v_dipole_x v_dipole_x*v_dipole_y v_dipole_x*v_dipole_z v_dipole_y*v_dipole_y v_dipole_y*v_dipole_z v_dipole_z*v_dipole_z
10000 10
9 80 43 1.00758e-05 -4.36651e-06 -8.41036e-06 3.51598e-06 3.93612e-06 -0.000123084
10 90 42 1.4821e-06 -1.74528e-06 2.06074e-06 8.36355e-07 5.1854e-06 -1.1072e-05
10600 10
1 0 61 2.11691e-05 -1.27504e-05 -2.86448e-05 1.29825e-05 1.04226e-05 0.000773974
2 10 60 2.83416e-06 -3.29193e-06 -3.7156e-05 1.6069e-06 2.52823e-05 5.99593e-05
3 20 59 3.48571e-06 -1.36913e-06 -5.34528e-06 1.83731e-06 -7.18902e-06 -0.000184954
4 30 58 -1.99423e-06 3.97307e-07 1.54166e-05 8.8725e-08 -8.01601e-06 -0.000170819
5 40 57 -6.52151e-06 4.80284e-06 3.41466e-05 -1.98456e-06 -2.01126e-05 -3.74259e-05
6 50 56 -5.66276e-06 4.00346e-06 -2.66902e-06 -2.02143e-06 1.41326e-05 -3.53019e-05
7 60 55 4.81056e-06 -2.36115e-06 -1.06442e-05 3.05058e-06 1.19713e-05 0.000131962
8 70 54 -1.05861e-08 9.66498e-08 -2.6645e-05 1.27614e-07 1.75209e-05 -6.91085e-05
9 80 53 7.76867e-06 -3.80263e-06 -9.36275e-06 3.02645e-06 6.96964e-06 -0.00018541
10 90 52 1.92204e-06 -9.28811e-07 -5.25759e-06 1.10597e-06 2.84902e-06 3.55718e-05
10700 10
1 0 71 1.83818e-05 -1.06525e-05 -2.71239e-05 1.45354e-05 1.21397e-05 0.000846566
2 10 70 2.4131e-06 -2.79191e-06 -2.78546e-05 9.12148e-07 1.51083e-05 -5.6147e-05
3 20 69 2.96763e-06 -1.22861e-06 -8.32294e-06 8.10794e-07 -1.48274e-05 -0.000113779
4 30 68 -1.69885e-06 4.61444e-07 1.84381e-05 -2.3449e-07 8.01422e-06 -0.000126943
5 40 67 -5.54765e-06 3.26047e-06 2.42137e-05 -1.83418e-06 -2.99094e-05 -2.83917e-05
6 50 66 -4.81926e-06 3.93311e-06 5.37252e-06 -1.34223e-06 1.47788e-05 -4.23275e-05
7 60 65 4.07631e-06 -2.67604e-06 -1.30134e-05 1.34521e-06 1.82704e-05 8.09287e-05
8 70 64 -3.53504e-08 5.01234e-07 -2.01873e-05 2.41958e-07 9.95853e-06 -8.16851e-05
9 80 63 6.48766e-06 -4.005e-06 -5.02785e-06 2.76612e-06 1.48266e-05 -0.000105408
10 90 62 1.68419e-06 1.72884e-07 -5.55372e-06 1.43328e-06 -1.06426e-06 1.09314e-05
10800 10
1 0 81 1.6564e-05 -9.48927e-06 -2.40893e-05 1.86956e-05 2.80025e-06 0.00082454
2 10 80 2.09115e-06 -2.04707e-06 -2.83445e-05 -3.6788e-06 1.41349e-05 -6.51922e-05
3 20 79 2.62289e-06 -2.07368e-06 -5.28635e-06 2.75551e-06 -5.14896e-06 -0.000106561
4 30 78 -1.43293e-06 1.17937e-06 1.48017e-05 -5.45187e-07 3.75983e-06 -9.75814e-05
5 40 77 -4.66672e-06 2.36388e-06 2.13106e-05 -1.70576e-06 -2.46724e-05 -5.89486e-05
6 50 76 -4.13181e-06 3.43464e-06 5.99204e-06 -1.17766e-06 1.58844e-05 -2.42459e-05
7 60 75 3.39915e-06 -2.41647e-06 -1.43626e-05 1.55163e-06 1.16554e-05 0.000112371
8 70 74 1.09409e-07 -1.95043e-07 -1.60906e-05 -3.6556e-07 1.12054e-05 -6.76268e-05
9 80 73 5.79231e-06 -2.49327e-06 -6.97654e-06 3.17227e-06 1.02056e-05 -9.51167e-05
10 90 72 1.45059e-06 -4.81092e-07 -6.68347e-06 1.81571e-06 -4.39052e-06 7.08126e-05
10900 10
1 0 91 1.54719e-05 -9.22026e-06 -2.53346e-05 1.99559e-05 2.66403e-06 0.000857773
2 10 90 1.7561e-06 -1.6058e-06 -1.96357e-05 -3.02545e-06 1.24593e-05 -0.000148133
3 20 89 2.53114e-06 -1.40888e-06 -8.45832e-06 1.81774e-06 -1.58124e-07 -3.02129e-05
4 30 88 -1.36018e-06 1.01079e-06 1.5263e-05 -2.94638e-07 -1.0739e-05 -0.000140844
