# Dipole correlation
# Timestep Number-of-time-windows
# Index TimeDelta Ncount v_dipole_x*v_dipole_x v_dipole_x*v_dipole_y v_dipole_x*v_dipole_z v_dipole_y*v_dipole_y v_dipole_y*v_dipole_z v_dipole_z*v_dipole_z
10000 10
10 90 222 4.26226e-07 -2.983e-07 -4.52529e-06 1.22729e-06 -4.1095e-06 -1.58987e-06
12400 10
1 0 241 1.83127e-05 -3.81878e-06 -2.30134e-05 2.60366e-05 -1.25133e-05 0.000949436
2 10 240 -1.92766e-06 -6.36628e-07 -4.84176e-06 -3.51536e-06 1.17673e-05 -0.000217524
3 20 239 4.59074e-06 -1.0398e-06 -3.01682e-06 3.51289e-06 -7.164e-06 -7.89058e-05
4 30 238 -2.69917e-06 2.28542e-06 2.35389e-06 -6.65697e-08 -2.06982e-05 2.6606e-05
5 40 237 1.00761e-06 -1.00967e-06 1.06109e-05 -7.77177e-07 6.48144e-06 -8.89975e-05
6 50 236 -3.296e-06 2.3531e-06 5.63177e-06 -3.7194e-07 -2.71983e-06 6.9605e-05
7 60 235 3.48952e-06 -1.68214e-06 -9.1608e-06 -1.06802e-06 1.17828e-05 -2.39269e-05
8 70 234 8.277e-07 1.20756e-06 -2.97377e-07 1.1292e-06 -5.75794e-06 -2.46366e-05
9 80 233 2.4227e-06 -1.40291e-06 8.21374e-07 4.23425e-07 1.11145e-05 4.87724e-05
10 90 232 1.78521e-06 -1.2009e-06 -8.09776e-06 1.55212e-06 -2.27134e-06 -4.52582e-06
12500 10
1 0 251 2.08299e-05 -5.27882e-06 -2.24528e-05 2.5839e-05 -1.15974e-05 0.000932992
2 10 250 -1.08125e-06 -9.98743e-07 -3.67791e-06 -3.14127e-06 1.07602e-05 -0.000208805
3 20 249 4.75569e-06 -1.10348e-06 -8.05744e-07 3.48592e-06 -8.14539e-06 -8.75728e-05
4 30 248 -3.41945e-06 2.62993e-06 -3.82656e-06 -3.54002e-07 -1.62906e-05 2.23398e-05
5 40 247 5.19781e-07 -8.80834e-07 4.32442e-06 -8.02836e-07 9.53587e-06 -7.64208e-05
6 50 246 -3.47608e-06 2.57004e-06 5.09363e-06 -6.20603e-07 -2.36738e-06 7.52522e-05
7 60 245 3.05828e-06 -1.31566e-06 -4.58492e-06 -1.17873e-06 8.48275e-06 -3.0212e-05
8 70 244 -4.50579e-08 1.65804e-06 -2.55923e-06 8.41432e-07 -4.45259e-06 -2.99468e-05
9 80 243 3.44025e-06 -2.13188e-06 8.62978e-07 9.3872e-07 1.05963e-05 5.59789e-05
10 90 242 3.10074e-06 -1.80737e-06 -7.71393e-06 1.96817e-06 -1.9121e-06 1.10869e-06
12600 10
1 0 261 2.31685e-05 -6.51079e-06 -2.65732e-05 2.55603e-05 -8.57418e-06 0.000948778
2 10 260 -1.09733e-06 -7.38891e-07 -1.37588e-06 -3.10263e-06 8.60524e-06 -0.000219859
3 20 259 6.39008e-06 -2.00558e-06 -6.94742e-06 3.75595e-06 -5.27358e-06 -9.08125e-05
4 30 258 -3.4859e-06 2.70385e-06 1.79919e-06 -3.90863e-07 -1.73281e-05 3.30685e-05
5 40 257 2.94181e-07 -9.13567e-07 9.38745e-06 -6.90338e-07 5.88358e-06 -8.61851e-05
6 50 256 -5.41567e-06 3.39786e-06 5.95276e-06 -1.0987e-06 -3.25387e-06 8.02181e-05
7 60 255 1.55501e-06 -9.97945e-07 -5.98186e-07 -1.31193e-06 6.29639e-06 -3.38033e-05
8 70 254 -7.45952e-07 1.67349e-06 -3.25125e-06 7.03651e-07 -3.78223e-06 -1.7933e-05
9 80 253 3.06653e-06 -1.91616e-06 5.66835e-06 9.42038e-07 8.21103e-06 5.13961e-05
10 90 252 3.21435e-06 -1.8045e-06 -1.13049e-05 1.89118e-06 -1.13667e-07 -8.62868e-06
12700 10
1 0 271 2.24116e-05 -6.267e-06 -2.63403e-05 2.4641e-05 -8.55609e-06 0.000940026
2 10 270 -1.07048e-06 -6.81487e-07 -1.7328e-06 -2.99341e-06 7.99642e-06 -0.000215683
3 20 269 6.10163e-06 -1.92107e-06 -6.68562e-06 3.61929e-06 -4.6307e-06 -9.70366e-05
4 30 268 -3.38072e-06 2.58753e-06 2.62713e-06 -3.74082e-07 -1.65937e-05 2.2409e-05
5 40 267 2.96345e-07 -9.03213e-07 9.82035e-06 -6.80897e-07 5.68197e-06 -8.26324e-05
6 50 266 -5.19988e-06 3.28092e-06 5.453e-06 -1.06092e-06 -2.56714e-06 8.35459e-05
7 60 265 1.4582e-06 -9.55822e-07 -9.37531e-07 -1.26094e-06 5.88615e-06 -2.33025e-05
8 70 264 -7.05214e-07 1.59764e-06 -2.66811e-06 6.90242e-07 -3.79159e-06 -3.1939e-05
9 80 263 2.93141e-06 -1.8134e-06 5.83704e-06 8.84993e-07 8.0914e-06 4.01472e-05
10 90 262 3.29821e-06 -1.85555e-06 -1.27854e-05 1.88132e-06 4.44676e-07 4.1266e-06
12800 10
1 0 281 2.16626e-05 -6.04372e-06 -2.6008e-05 2.37841e-05 -8.69738e-06 0.000957924
2 10 280 -1.02386e-06 -6.63516e-07 -1.06988e-06 -2.88838e-06 7.40283e-06 -0.000224803
3 20 279 5.86631e-06 -1.86463e-06 -6.3222e-06 3.48397e-06 -4.53517e-06 -9.42609e-05
4 30 278 -3.23135e-06 2.5009e-06 1.91189e-06 -3.59047e-07 -1.58213e-05 5.45778e-06
5 40 277 2.8616e-07 -8.74401e-07 9.51116e-06 -6.5514e-07 5.14616e-06 -6.1901e-05
6 50 276 -5.01578e-06 3.15221e-06 5.12417e-06 -1.02514e-06 -2.28037e-06 8.57912e-05
7 60 275 1.43244e-06 -9.38553e-07 -5.18746e-08 -1.22594e-06 5.81653e-06 -3.73139e-05
8 70 274 -6.93324e-07 1.55012e-06 -2.3805e-06 6.695e-07 -3.48889e-06 -4.61943e-05
9 80 273 2.78183e-06 -1.74034e-06 5.82999e-06 8.53547e-07 7.76126e-06 4.82431e-05
10 90 272 3.17925e-06 -1.80245e-06 -1.28453e-05 1.81561e-06 -7.25428e-08 3.08416e-05
12900 10
1 0 291 2.09934e-05 -5.85377e-06 -2.59696e-05 2.30024e-05 -8.41576e-06 0.000952304
2 10 290 -1.0054e-06 -6.64859e-07 -7.45802e-07 -2.79413e-06 7.03556e-06 -0.000215849
3 20 289 5.63082e-06 -1.7739e-06 -5.77379e-06 3.33333e-06 -4.88614e-06 -9.41524e-05
4 30 288 -3.09462e-06 2.43126e-06 1.68204e-06 -3.41698e-07 -1.48438e-05 7.89781e-06
5 40 287 2.89977e-07 -8.76338e-07 9.54949e-06 -6.04675e-07 5.21759e-06 -6.78578e-05
6 50 286 -4.87379e-06 3.04681e-06 5.02656e-06 -9.94949e-07 -2.70008e-06 8.79912e-05
7 60 285 1.35305e-06 -8.8413e-07 6.84618e-07 -1.20409e-06 5.54993e-06 -5.05917e-05
8 70 284 -6.50501e-07 1.4833e-06 -2.19106e-06 6.50624e-07 -2.89217e-06 -5.71293e-05
9 80 283 2.66527e-06 -1.68527e-06 5.51249e-06 8.43462e-07 7.65453e-06 4.57257e-05
10 90 282 3.05647e-06 -1.73396e-06 -1.26179e-05 1.7475e-06 -1.03934e-07 4.1449e-05
13000 10
1 0 301 2.03939e-05 -5.67581e-06 -2.61083e-05 2.22569e-05 -7.57609e-06 0.000960636
2 10 300 -9.80469e-07 -6.54149e-07 -1.95683e-07 -2.69481e-06 6.69101e-06 -0.000215491
3 20 299 5.42377e-06 -1.73262e-06 -6.06938e-06 3.22854e-06 -4.63176e-06 -9.11398e-05
4 30 298 -2.979e-06 2.34486e-06 1.52633e-06 -3.30529e-07 -1.45665e-05 -2.43721e-06
5 40 297 3.13317e-07 -8.72991e-07 8.89329e-06 -5.79956e-07 4.92448e-06 -6.13007e-05
6 50 296 -4.72827e-06 2.95305e-06 5.39586e-06 -9.57182e-07 -2.37773e-06 8.26924e-05
7 60 295 1.35448e-06 -8.59933e-07 2.83436e-08 -1.15456e-06 5.8084e-06 -3.99445e-05
8 70 294 -6.30629e-07 1.4277e-06 -1.95713e-06 6.31075e-07 -3.27409e-06 -5.7329e-05
9 80 293 2.54447e-06 -1.62803e-06 5.83447e-06 8.10307e-07 7.16958e-06 5.45936e-05
10 90 292 2.95588e-06 -1.66509e-06 -1.20871e-05 1.69043e-06 7.73524e-07 2.29813e-05
13100 10
1 0 311 1.98611e-05 -5.53106e-06 -2.60195e-05 2.15629e-05 -7.16654e-06 0.000953465
2 10 310 -9.8566e-07 -6.20841e-07 4.75781e-07 -2.62234e-06 6.19142e-06 -0.000207697
3 20 309 5.25073e-06 -1.68273e-06 -5.77452e-06 3.13137e-06 -4.25131e-06 -8.2021e-05
4 30 308 -2.88923e-06 2.28481e-06 9.34993e-07 -3.30318e-07 -1.37615e-05 5.40932e-06
5 40 307 2.73997e-07 -8.60034e-07 9.10746e-06 -5.54421e-07 4.647e-06 -6.0232e-05
6 50 306 -4.60169e-06 2.88024e-06 5.091e-06 -9.40214e-07 -2.02885e-06 6.94506e-05
7 60 305 1.32792e-06 -8.37452e-07 -9.05049e-07 -1.10576e-06 5.72511e-06 -3.48561e-05
8 70 304 -6.20904e-07 1.38769e-06 -2.36975e-06 6.04206e-07 -3.30006e-06 -6.34577e-05
9 80 303 2.45245e-06 -1.58543e-06 6.22985e-06 7.83353e-07 6.74012e-06 3.78719e-05
10 90 302 2.85863e-06 -1.58105e-06 -1.15507e-05 1.62307e-06 8.84319e-07 2.65457e-05
13200 10
1 0 321 1.93168e-05 -5.4035e-06 -2.52041e-05 2.09305e-05 -7.27901e-06 0.000946797
2 10 320 -9.53724e-07 -6.10509e-07 4.31944e-07 -2.53719e-06 6.13595e-06 -0.000208779
3 20 319 5.09058e-06 -1.65388e-06 -4.72685e-06 3.05372e-06 -4.74981e-06 -6.98637e-05
4 30 318 -2.74611e-06 2.18007e-06 1.04316e-06 -3.08853e-07 -1.3229e-05 1.29272e-06
5 40 317 2.72871e-07 -8.39399e-07 9.12195e-06 -5.31719e-07 4.00527e-06 -5.66473e-05
6 50 316 -4.4797e-06 2.78942e-06 5.43334e-06 -9.09043e-07 -2.40407e-06 7.045e-05
7 60 315 1.32702e-06 -8.2476e-07 -7.60628e-07 -1.05637e-06 5.43651e-06 -4.14532e-05
8 70 314 -6.53161e-07 1.38493e-06 -1.96955e-06 5.74879e-07 -3.51905e-06 -5.74569e-05
9 80 313 2.41051e-06 -1.57096e-06 6.72325e-06 7.80647e-07 6.31807e-06 2.19738e-05
10 90 312 2.7499e-06 -1.53135e-06 -1.13545e-05 1.56687e-06 8.03471e-07 3.01226e-05
13300 10
1 0 331 1.87865e-05 -5.25831e-06 -2.49442e-05 2.03149e-05 -6.79512e-06 0.00095201
2 10 330 -9.30497e-07 -6.02032e-07 9.20779e-07 -2.45661e-06 5.84022e-06 -0.000204705
3 20 329 4.95649e-06 -1.59217e-06 -4.93259e-06 2.95993e-06 -4.48886e-06 -7.37463e-05
4 30 328 -2.65423e-06 2.10292e-06 1.03483e-06 -2.98879e-07 -1.31085e-05 -1.78602e-07
5 40 327 2.47586e-07 -8.07493e-07 8.76849e-06 -5.18305e-07 4.0091e-06 -5.62947e-05
6 50 326 -4.33007e-06 2.69629e-06 4.23886e-06 -8.74958e-07 -1.72907e-06 7.51493e-05
7 60 325 1.30065e-06 -8.10874e-07 -5.17825e-07 -1.01516e-06 5.26927e-06 -3.60514e-05
8 70 324 -6.51621e-07 1.35182e-06 -1.79118e-06 5.52479e-07 -3.39887e-06 -5.18303e-05
9 80 323 2.35813e-06 -1.51962e-06 6.53732e-06 7.57745e-07 6.18619e-06 2.49037e-06
10 90 322 2.64285e-06 -1.48934e-06 -1.06663e-05 1.51902e-06 2.72462e-07 3.16257e-05
13400 10
1 0 341 1.82816e-05 -5.09818e-06 -2.45728e-05 1.9742e-05 -6.55322e-06 0.000942589
2 10 340 -9.13984e-07 -6.07778e-07 1.23198e-06 -2.39245e-06 5.49976e-06 -0.000202719
3 20 339 4.81303e-06 -1.53632e-06 -4.36084e-06 2.87238e-06 -4.57807e-06 -7.89628e-05
4 30 338 -2.57405e-06 2.04763e-06 1.03593e-06 -2.87975e-07 -1.2531e-05 -1.68734e-06
5 40 337 2.33672e-07 -7.83317e-07 8.60518e-06 -5.02805e-07 3.54547e-06 -5.72995e-05
6 50 336 -4.20971e-06 2.62968e-06 4.59222e-06 -8.57385e-07 -1.60118e-06 7.43782e-05
7 60 335 1.25488e-06 -7.88901e-07 -4.37838e-07 -9.82842e-07 5.05515e-06 -3.37597e-05
8 70 334 -6.42251e-07 1.3317e-06 -1.42495e-06 5.28086e-07 -3.69404e-06 -5.47555e-05
9 80 333 2.27694e-06 -1.47413e-06 6.45941e-06 7.3106e-07 6.00493e-06 -4.5382e-06
10 90 332 2.55908e-06 -1.44242e-06 -1.09738e-05 1.47544e-06 3.40943e-07 3.80426e-05
13500 10
1 0 351 1.78288e-05 -4.95305e-06 -2.46977e-05 1.91889e-05 -6.23907e-06 0.000937858
2 10 350 -8.68607e-07 -5.94106e-07 9.01101e-07 -2.32573e-06 5.5869e-06 -0.0001934
3 20 349 4.66285e-06 -1.48373e-06 -4.03318e-06 2.78753e-06 -4.30625e-06 -8.32548e-05
4 30 348 -2.53447e-06 1.99501e-06 9.979e-07 -2.79577e-07 -1.22106e-05 2.98286e-06
5 40 347 2.26292e-07 -7.60459e-07 8.86805e-06 -4.82567e-07 3.53614e-06 -6.40353e-05
6 50 346 -4.10761e-06 2.54439e-06 4.71398e-06 -8.40872e-07 -1.67362e-06 7.01435e-05
7 60 345 1.22651e-06 -7.52315e-07 -3.55653e-07 -9.56407e-07 4.69768e-06 -2.43112e-05
8 70 344 -6.33254e-07 1.29801e-06 -9.18817e-07 5.18206e-07 -3.76332e-06 -5.88423e-05
9 80 343 2.19608e-06 -1.448e-06 6.21672e-06 7.10916e-07 5.9778e-06 -2.65714e-06
10 90 342 2.48925e-06 -1.40236e-06 -1.12988e-05 1.42534e-06 2.20402e-07 3.921e-05
13600 10
1 0 361 1.75023e-05 -4.5513e-06 -2.42169e-05 1.92395e-05 -5.5896e-06 0.000927077
2 10 360 -8.68132e-07 -5.81326e-07 8.95893e-07 -2.25075e-06 4.98503e-06 -0.000187837
3 20 359 4.51154e-06 -1.46808e-06 -4.02482e-06 2.63923e-06 -3.88005e-06 -7.83403e-05
4 30 358 -2.46922e-06 1.88608e-06 5.67957e-07 -4.05865e-07 -1.21113e-05 8.8065e-06
5 40 357 1.59704e-07 -8.67881e-07 8.6097e-06 -6.39787e-07 4.33284e-06 -5.74135e-05
6 50 356 -3.9531e-06 2.57537e-06 4.88579e-06 -6.67593e-07 -1.17953e-06 7.14733e-05
7 60 355 1.22125e-06 -7.00871e-07 -6.05437e-07 -9.47598e-07 4.71636e-06 -2.11014e-05
8 70 354 -6.54276e-07 1.18017e-06 -4.88913e-07 5.12354e-07 -3.51723e-06 -5.87091e-05
9 80 353 2.12292e-06 -1.402e-06 6.15565e-06 6.89386e-07 5.58386e-06 -4.51985e-06
10 90 352 2.42459e-06 -1.38189e-06 -1.10627e-05 1.38849e-06 2.31848e-07 4.22118e-05
13700 10
1 0 371 1.72886e-05 -3.94464e-06 -2.46726e-05 1.9702e-05 -7.4147e-06 0.000926413
2 10 370 -9.50046e-07 -6.90075e-07 1.66678e-06 -2.4513e-06 5.96447e-06 -0.000194983
3 20 369 4.45439e-06 -1.30154e-06 -4.18295e-06 2.81473e-06 -4.18944e-06 -7.38421e-05
4 30 368 -2.28002e-06 2.10638e-06 -7.86385e-07 1.659e-07 -1.40406e-05 8.60573e-06
5 40 367 1.73929e-08 -1.04144e-06 9.48185e-06 -1.15949e-06 5.9148e-06 -5.86797e-05
6 50 366 -3.7145e-06 2.73364e-06 3.97948e-06 -2.8482e-07 -2.30456e-06 7.57495e-05
7 60 365 1.05529e-06 -9.3023e-07 4.88569e-08 -1.34988e-06 6.24066e-06 -3.02874e-05
8 70 364 -7.14056e-07 9.68876e-07 -1.2754e-07 4.46945e-08 -2.66129e-06 -4.71531e-05
9 80 363 2.14235e-06 -1.24034e-06 5.57745e-06 9.05176e-07 3.77512e-06 -1.80062e-05
10 90 362 2.23646e-06 -1.55435e-06 -1.01014e-05 1.0789e-06 2.55511e-06 4.6209e-05
13800 10
1 0 381 1.70148e-05 -3.4596e-06 -2.44581e-05 2.02689e-05 -6.08997e-06 0.000927248
2 10 380 -9.70991e-07 -6.60377e-07 2.48754e-06 -2.28355e-06 6.85703e-06 -0.000192535
3 20 379 4.31575e-06 -1.2918e-06 -4.33764e-06 2.51126e-06 -6.33209e-06 -8.76784e-05
4 30 378 -2.23914e-06 1.82683e-06 -2.52403e-06 -2.30906e-07 -1.70111e-05 1.96243e-05
5 40 377 2.62086e-08 -9.26141e-07 9.88263e-06 -9.559e-07 7.3387e-06 -4.52868e-05
6 50 376 -3.63026e-06 2.70568e-06 4.6021e-06 -1.81352e-07 -9.00075e-07 6.88156e-05
7 60 375 9.53528e-07 -1.10597e-06 -1.01322e-06 -1.61467e-06 3.63192e-06 -3.80506e-05
8 70 374 -5.99868e-07 1.17879e-06 -3.03052e-07 5.91665e-07 -2.42895e-06 -4.09216e-05
9 80 373 2.07793e-06 -1.1431e-06 5.66009e-06 9.62533e-07 4.71809e-06 -4.55467e-06
10 90 372 2.20477e-06 -1.3601e-06 -9.47947e-06 1.39178e-06 2.23937e-06 3.49001e-05
13900 10
1 0 391 1.66994e-05 -3.13632e-06 -2.46182e-05 2.0289e-05 -7.82807e-06 0.000927948
2 10 390 -9.08463e-07 -6.41488e-07 2.86366e-06 -2.18569e-06 7.12658e-06 -0.000201241
3 20 389 4.1969e-06 -1.30109e-06 -4.10388e-06 2.24567e-06 -5.63636e-06 -7.88491e-05
4 30 388 -2.22587e-06 1.68441e-06 -1.3167e-06 -4.40739e-07 -1.42495e-05 1.26772e-05
5 40 387 2.7946e-08 -8.95621e-07 9.14068e-06 -8.91121e-07 5.62e-06 -4.6745e-05
6 50 386 -3.45842e-06 2.79252e-06 4.39426e-06 3.71736e-08 -9.64073e-07 7.64723e-05
7 60 385 9.45241e-07 -1.09591e-06 -1.24822e-06 -1.59583e-06 3.06281e-06 -3.97507e-05
8 70 384 -6.05558e-07 1.11705e-06 2.54487e-08 5.15293e-07 -2.61958e-06 -3.77103e-05
9 80 383 2.00412e-06 -1.11142e-06 5.81531e-06 7.77076e-07 5.16833e-06 -1.3006e-05
10 90 382 2.11222e-06 -1.3671e-06 -9.45225e-06 1.1523e-06 2.5935e-06 5.01819e-05
14000 10
1 0 401 1.63533e-05 -3.00699e-06 -2.42885e-05 1.99536e-05 -7.08902e-06 0.000935221
2 10 400 -8.59391e-07 -5.91677e-07 2.89772e-06 -2.0822e-06 6.61627e-06 -0.000202976
3 20 399 4.11824e-06 -1.26647e-06 -3.87437e-06 2.16044e-06 -5.33673e-06 -7.53879e-05
4 30 398 -2.18652e-06 1.62683e-06 -1.10136e-06 -4.43923e-07 -1.33523e-05 9.96192e-06
5 40 397 -2.31537e-08 -9.30144e-07 9.21942e-06 -9.32242e-07 7.42544e-06 -3.86199e-05
6 50 396 -3.42674e-06 2.64306e-06 3.98531e-06 -1.21863e-07 -2.04721e-06 6.83828e-05
7 60 395 8.78612e-07 -1.06832e-06 -9.38773e-07 -1.5434e-06 3.03903e-06 -3.42324e-05
8 70 394 -5.89598e-07 1.12648e-06 -1.14185e-07 6.05155e-07 -3.1974e-06 -3.72496e-05
9 80 393 1.97391e-06 -1.05456e-06 6.02063e-06 8.99292e-07 6.36134e-06 -1.11795e-05
10 90 392 2.06133e-06 -1.40749e-06 -9.36166e-06 1.02098e-06 1.94455e-06 4.31057e-05
14100 10
1 0 411 1.60679e-05 -2.94054e-06 -2.45244e-05 1.94721e-05 -6.90356e-06 0.000938226
2 10 410 -8.80423e-07 -5.73743e-07 3.53554e-06 -2.03129e-06 6.43377e-06 -0.000214413
3 20 409 4.02313e-06 -1.23553e-06 -4.12845e-06 2.10884e-06 -5.11335e-06 -8.1493e-05
4 30 408 -2.14046e-06 1.58673e-06 -1.00715e-06 -4.35971e-07 -1.31571e-05 2.14621e-05
5 40 407 -9.07091e-09 -9.14635e-07 9.35233e-06 -9.07471e-07 7.25905e-06 -3.78532e-05
6 50 406 -3.33965e-06 2.57985e-06 3.68893e-06 -1.20761e-07 -2.00325e-06 6.08585e-05
7 60 405 8.43304e-07 -1.0431e-06 -7.98713e-07 -1.50281e-06 2.99306e-06 -3.79868e-05
8 70 404 -5.89355e-07 1.10342e-06 -7.92125e-08 5.89398e-07 -3.05627e-06 -3.7022e-05
9 80 403 1.94587e-06 -1.02903e-06 5.17791e-06 8.76819e-07 6.4871e-06 -2.87018e-06
10 90 402 1.9668e-06 -1.37138e-06 -8.93187e-06 9.9377e-07 6.45968e-07 3.28124e-05
14200 10
1 0 421 1.58691e-05 -2.90944e-06 -2.51961e-05 1.90317e-05 -6.42232e-06 0.000934972
2 10 420 -8.69832e-07 -5.57202e-07 3.46836e-06 -1.98468e-06 6.50499e-06 -0.000210737
3 20 419 3.87293e-06 -1.19067e-06 -3.50268e-06 2.06029e-06 -5.11938e-06 -8.96366e-05
4 30 418 -2.0642e-06 1.54938e-06 -1.39337e-06 -4.31632e-07 -1.27453e-05 1.88228e-05
5 40 417 -6.27056e-08 -8.63088e-07 9.57959e-06 -8.94205e-07 6.82157e-06 -3.50025e-05
6 50 416 -3.34297e-06 2.52266e-06 4.13254e-06 -1.2129e-07 -2.00178e-06 6.53904e-05
7 60 415 9.27881e-07 -1.03386e-06 -9.14791e-07 -1.46653e-06 2.92244e-06 -4.00307e-05
8 70 414 -5.89128e-07 1.06386e-06 -2.88343e-07 5.78143e-07 -2.95371e-06 -3.7233e-05
9 80 413 1.8926e-06 -9.89362e-07 5.0167e-06 8.586e-07 6.34324e-06 -5.2469e-06
10 90 412 1.94505e-06 -1.3587e-06 -9.48877e-06 9.73021e-07 7.445e-07 3.9218e-05
14300 10
1 0 431 1.55429e-05 -2.8384e-06 -2.51389e-05 1.85994e-05 -6.10947e-06 0.00093582
2 10 430 -8.35113e-07 -5.48436e-07 2.49107e-06 -1.94113e-06 6.31925e-06 -0.000197301
3 20 429 3.76825e-06 -1.14622e-06 -2.95416e-06 2.01539e-06 -5.08849e-06 -9.99822e-05
4 30 428 -2.00108e-06 1.51401e-06 -1.01537e-06 -4.28022e-07 -1.29375e-05 4.72348e-06
5 40 427 -5.46786e-08 -8.5304e-07 8.70924e-06 -8.62667e-07 6.86674e-06 -2.53959e-05
6 50 426 -3.26172e-06 2.45933e-06 3.3068e-06 -1.20815e-07 -1.81231e-06 7.56658e-05
7 60 425 8.93995e-07 -1.00165e-06 -9.2629e-07 -1.42519e-06 3.16149e-06 -3.70841e-05
8 70 424 -6.0113e-07 1.03452e-06 1.73798e-07 5.59913e-07 -3.15689e-06 -5.21542e-05
9 80 423 1.82087e-06 -9.61073e-07 6.08746e-06 8.4397e-07 5.8628e-06 -1.285e-05
10 90 422 1.90952e-06 -1.32664e-06 -9.27147e-06 9.43718e-07 4.15886e-07 4.53271e-05
14400 10
1 0 441 1.52398e-05 -2.75298e-06 -2.47776e-05 1.82626e-05 -5.69798e-06 0.000923182
2 10 440 -8.14094e-07 -5.5687e-07 2.41912e-06 -1.8834e-06 6.26401e-06 -0.000196304
3 20 439 3.66932e-06 -1.16177e-06 -3.04165e-06 1.9623e-06 -5.00727e-06 -9.59261e-05
4 30 438 -1.94719e-06 1.4841e-06 -9.4229e-07 -4.3618e-07 -1.29045e-05 2.76307e-06
5 40 437 -6.65004e-08 -8.45672e-07 8.44361e-06 -8.70669e-07 6.51261e-06 -2.82438e-05
6 50 436 -3.19838e-06 2.40387e-06 3.52763e-06 -1.49721e-07 -1.54231e-06 7.51379e-05
7 60 435 8.8089e-07 -9.50399e-07 -8.99467e-07 -1.38131e-06 3.03811e-06 -4.06637e-05
8 70 434 -5.8041e-07 1.03037e-06 4.30144e-07 5.72768e-07 -2.8807e-06 -4.87429e-05
9 80 433 1.78655e-06 -9.1151e-07 6.11335e-06 8.26795e-07 5.72776e-06 -1.47597e-05
10 90 432 1.88667e-06 -1.30288e-06 -9.17198e-06 9.27266e-07 5.35471e-07 4.68894e-05
14500 10
1 0 451 1.53201e-05 -1.58217e-06 -2.51195e-05 2.10655e-05 -6.2051e-06 0.0009195
2 10 450 -6.37421e-07 -2.14941e-07 1.10539e-06 -9.54016e-07 1.78641e-06 -0.000196662
3 20 449 3.72654e-06 -7.34538e-07 -2.74932e-06 2.73407e-06 -4.43272e-06 -9.21942e-05
4 30 448 -1.81873e-06 1.56106e-06 -1.80079e-06 -5.36659e-07 -1.48539e-05 5.47956e-06
5 40 447 -7.20707e-09 -7.91259e-07 7.98208e-06 -9.37802e-07 6.53785e-06 -2.26541e-05
6 50 446 -3.20253e-06 2.02437e-06 3.48947e-06 -5.94196e-07 -2.24051e-06 7.10851e-05
7 60 445 8.2426e-07 -9.35665e-07 3.74581e-07 -1.19379e-06 6.11118e-06 -4.39778e-05
8 70 444 -6.76765e-07 5.85013e-07 -3.56745e-07 9.27061e-08 -3.83007e-06 -3.91733e-05
9 80 443 1.69486e-06 -9.91102e-07 6.13908e-06 4.04865e-07 4.83234e-06 -2.18414e-05
10 90 442 1.8433e-06 -1.20781e-06 -8.51832e-06 9.83671e-07 1.79274e-06 4.76123e-05
14600 10
1 0 461 1.5157e-05 -1.07597e-06 -2.57302e-05 2.22298e-05 -8.18183e-06 0.000916972
2 10 460 -7.12427e-07 -4.65185e-07 1.73029e-06 -1.42053e-06 3.7511e-06 -0.000200778
3 20 459 3.62463e-06 -7.83257e-07 -2.54137e-06 2.60879e-06 -4.16316e-06 -9.34352e-05
4 30 458 -1.73467e-06 1.60892e-06 -2.71049e-06 -4.12766e-07 -1.60701e-05 1.91614e-05
5 40 457 -4.73188e-08 -7.99082e-07 8.25549e-06 -5.7633e-07 6.99474e-06 -3.29949e-05
6 50 456 -3.16421e-06 1.74472e-06 3.1607e-06 -1.50777e-06 -1.59665e-06 8.11825e-05
7 60 455 8.49979e-07 -8.70067e-07 -7.34905e-07 -7.5296e-07 2.59106e-06 -4.60558e-05
8 70 454 -7.63837e-07 1.66502e-07 -2.2866e-07 -7.81298e-07 -3.85931e-06 -3.97581e-05
9 80 453 1.66195e-06 -1.07759e-06 5.13897e-06 8.15127e-08 3.50905e-06 -1.14872e-05
10 90 452 1.75296e-06 -1.39939e-06 -7.75473e-06 1.96799e-07 2.83623e-06 4.19158e-05
14700 10
1 0 471 1.49666e-05 -7.44926e-07 -2.53612e-05 2.26869e-05 -7.51686e-06 0.000919799
2 10 470 -6.90475e-07 -4.59484e-07 1.93424e-06 -1.44663e-06 3.80384e-06 -0.000199364
3 20 469 3.47532e-06 -9.08899e-07 -1.95639e-06 2.10044e-06 -2.61136e-06 -9.64995e-05
4 30 468 -1.7385e-06 1.47599e-06 -2.94048e-06 -5.38623e-07 -1.5662e-05 2.78668e-05
5 40 467 -3.48105e-08 -7.34021e-07 7.84696e-06 -3.06208e-07 5.94555e-06 -4.20617e-05
6 50 466 -3.03093e-06 1.8653e-06 2.4867e-06 -1.03395e-06 -2.26093e-06 8.14033e-05
7 60 465 7.92737e-07 -1.00545e-06 -6.74423e-07 -1.13195e-06 3.99914e-06 -3.39171e-05
8 70 464 -7.90141e-07 1.32285e-07 1.1066e-06 -8.09247e-07 -2.6486e-07 -4.68569e-05
9 80 463 1.66759e-06 -9.51285e-07 3.98468e-06 -2.175e-08 -2.38822e-07 -5.36718e-06
10 90 462 1.69034e-06 -1.49144e-06 -7.70282e-06 -2.12666e-07 2.16312e-06 3.98431e-05
14800 10
