# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
100 0.0200043 0.0155189 0.0163905 0.0519137 194.828
200 0.0754376 0.0674948 0.0886885 0.231621 220.63
300 0.14808 0.126442 0.160071 0.434593 274.975
400 0.220026 0.227784 0.229665 0.677475 314.76
500 0.27867 0.41245 0.267253 0.958373 324.095
600 0.308392 0.539186 0.299561 1.14714 322.7
700 0.338559 0.514386 0.396546 1.24949 317.388
800 0.363847 0.521008 0.404534 1.28939 327.356
900 0.390291 0.601186 0.38965 1.38113 325.038
1000 0.388264 0.63917 0.420662 1.4481 332.895
1100 0.456067 0.651452 0.494492 1.60201 345.442
1200 0.560671 0.664275 0.485849 1.71079 339.981
1300 0.574424 0.719716 0.504624 1.79876 310.842
1400 0.590099 0.759189 0.544613 1.8939 296.831
1500 0.637662 0.728904 0.581483 1.94805 301.895
1600 0.749791 0.750874 0.617491 2.11816 287.489
1700 0.808553 0.741845 0.661076 2.21147 300.233
1800 0.885638 0.761074 0.715983 2.36269 331.618
1900 0.926664 0.800534 0.783035 2.51023 312.034
2000 0.947604 0.804819 0.843044 2.59547 314.424
2100 1.00484 0.813029 0.87703 2.6949 296.544
2200 1.04106 0.886237 0.97189 2.89919 295.895
2300 1.0418 0.916088 0.947142 2.90503 285.625
2400 1.05572 0.909822 0.907701 2.87324 309.31
2500 1.00983 0.872245 0.895431 2.7775 320.105
2600 0.960556 0.864123 0.856558 2.68124 318.854
2700 0.947717 0.871514 0.860719 2.67995 306.322
2800 0.954037 0.801633 0.893494 2.64916 311.666
2900 0.897915 0.758532 0.98526 2.64171 326.287
3000 0.823751 0.739378 1.03886 2.60199 321.196
3100 0.823975 0.769736 1.05233 2.64604 319.519
3200 0.890507 0.853442 1.09308 2.83703 317.715
3300 0.944376 0.882081 1.10159 2.92805 309.751
3400 0.965715 0.908206 1.10675 2.98067 323.04
3500 0.972135 0.925015 1.1079 3.00505 325.945
3600 1.0141 0.939889 1.19274 3.14672 311.025
3700 1.10005 0.939901 1.32465 3.36461 303.482
3800 1.13843 0.973645 1.37125 3.48332 289.578
3900 1.1217 0.930758 1.48038 3.53284 289.863
4000 1.22896 0.931036 1.59853 3.75853 296.95
4100 1.22661 0.986628 1.57181 3.78506 311.129
4200 1.2345 1.02563 1.44227 3.70239 316.598
4300 1.26077 1.03312 1.34998 3.64387 304.173
4400 1.23754 1.02397 1.27391 3.53543 307.21
4500 1.23801 1.01503 1.37684 3.62988 300.178
4600 1.23194 1.03276 1.47777 3.74247 299.128
4700 1.1708 1.02397 1.51056 3.70533 293.441
4800 1.17401 1.08065 1.55377 3.80843 281.974
4900 1.19811 1.1428 1.48366 3.82457 296.581
5000 1.19504 1.12193 1.48086 3.79783 301.581
