# Stress and strain vectors, 333U-50C-9-vasp, positive deformation 6
# eps sig1 sig2 sig3 sig4 sig5 sig6
0 -0 -0 -0 -0 -0 -0
0.04 -0.615658885356923 -0.106189769516929 -0.137744341224893 0.186553219015471 0.492856810107196 0.147905386908848
0.08 -1.07598056477527 -0.109999468021886 0.0105555882030247 -0.220810631323685 0.725475707283588 0.655453343159912
0.12 -0.924658743137432 -0.242805663814127 -0.624588377105081 0.265737491321552 0.578935010946137 1.1410361139545
0.16 -0.937916516552485 -0.239960183241499 -0.22010333250897 -0.202452611541724 0.429624955875242 1.5498596467968
0.2 0.0394192194044624 0.401174561521653 0.340946456956376 -0.0595670437133644 0.295323865954005 1.53828016381799
0.24 -0.157331496410281 0.44084566296664 0.0813292658844342 -0.277848440536231 0.560174562024484 2.01453408431138
0.28 -0.482252967202476 -0.328700181441625 -0.0908303714563077 -0.261237034730801 0.403567729247184 2.30171953459862
0.32 0.278403083698892 0.65773217030885 -0.154445464392671 -0.305212334496731 0.769900549636706 2.78912542955421
0.36 0.0950066478968872 0.535991952483332 -0.365171941473944 -0.237092551069719 0.600250661119844 3.18008671422783
0.400000000000001 0.706788061538611 1.05836055405934 0.190522290445173 -0.448375600848013 0.421401982189772 3.68940783290752
0.44 0.633963613756355 0.727106308910112 -0.323968963300858 -0.567314736231747 0.483642274492212 3.8032966238655
0.48 0.763891311646735 0.653137578840446 -0.11901205422683 -0.937720774020603 0.210722230140163 4.23911819110078
0.52 1.35522705536474 0.813947930515084 -0.558649030955113 -0.955075513071755 0.457028610202374 4.30859850090888
0.56 1.03111267261819 0.044847777409339 -0.871008752448054 -0.791254867062481 0.41519149920271 4.2287681455191
0.6 1.3826923979041 0.111008022804609 -0.397732621601416 -0.792698988489194 -0.121323108537001 5.02333579790484
0.64 2.01961011715092 0.660211507987176 0.102615325258201 -1.00327756781295 -0.130366018841323 4.81444591778485
0.68 1.8199227240334 0.358443463309414 -0.0393919613913555 -0.33674975274777 -0.40443139053816 4.65477439824812
0.72 2.39656265768904 0.436716796183378 0.611808832908256 -0.298022633044601 -0.365882604900036 4.47070491956259
0.76 1.69879231261055 -0.122065190621239 0.132837060003756 -0.0748985743975761 -0.135572382102114 4.2954355242049
0.8 0.785100819097778 -1.14294249696063 -0.94040307470844 -0.336985381294012 0.140875821000442 3.4164731672662
0.84 0.786988178849204 -1.16632470231914 -0.972683951390511 -0.395310882618828 -0.481411166084566 3.04638720553488
0.88 1.1452251881115 -1.12045356280263 -0.741380704639065 -0.532852084285077 -0.443594367151328 3.42092677644719
0.92 1.54103450847876 -0.606398612213722 -0.642583941258818 -0.44450737282895 -0.73902327240265 3.62553861119588
0.96 1.36922219582881 -0.57937738851857 -0.275396197321726 -0.487208925750653 -0.645035976072738 3.79399287820011
1 1.1822459030446 -1.34476511664194 -0.119346660250883 -0.633084446712059 -0.702930295349018 3.74012653653804
1.04 0.818336233853342 -1.92103006980496 -0.977010290714198 -0.260057989357155 -0.448573152975064 3.567210555213
1.08 0.596644705889416 -2.20143485781795 -1.32023378255613 -0.0939094462616961 -0.315787686852405 3.10485804066384
1.12 1.6425008690829 -1.9818082041381 -1.08239686023854 -0.0959618678729407 -0.39178597882265 3.50606877934517
1.16 1.05315312216209 -2.4137645863661 -1.56156379877746 0.448840880244396 -0.108156046704105 3.2976955304138
1.2 1.02027900649514 -2.69771161569246 -1.62068862862794 0.160782855107304 -0.18309731475534 3.01422066966667
1.24 1.15869076717832 -2.31023320070575 -1.86312098909796 -0.113139535139368 -0.140417545346317 3.01418705201525
1.28 0.0652818534239307 -2.54959439265054 -1.5842554509276 -0.0269598773795913 0.00253613807985247 2.95527304489565
1.32 -0.622624054400419 -3.41838362722239 -2.02000580874288 -0.0209150281302051 -0.308309554660209 2.46748293430018
1.36 -0.160411429480667 -3.09460499808532 -1.43589520120576 -0.26504493064717 -0.471755993615824 2.46852620918768
1.4 -1.50558085735706 -3.57210342896785 -2.11642525056525 -0.0762694365332522 -0.131043117065906 2.31660615577913
1.44 -0.695243740334537 -3.86591708657232 -1.59203512766391 0.0821447177597145 -0.419816423723644 2.83184395727381
1.48 -0.607060674060982 -2.54372363979634 -1.08983905965306 0.275609966869576 -0.534845525254407 3.19782225793102
1.52 -1.03668213800302 -2.18682005352068 -1.09264245790959 0.382831733396128 -0.335003379194448 3.37797304228695
1.56 -1.1774315327485 -2.50745882105661 -1.47516900855543 0.207898273671631 0.0472868988231815 3.26946712479796
1.6 -0.222146416687916 -1.93292382644158 -1.17324981954623 0.301733316467485 -0.0402678104977615 3.40077241543646
1.64 0.153900318482524 -1.38504691139728 -0.727237686737316 0.284339204139275 -0.088884978747144 3.58335658327599
1.68 0.0929260669293676 -0.953760269696156 -0.561870600946814 -0.00562994088030463 -0.381809388824476 3.76437888266664
1.72 -0.11728956827642 -1.6926510211964 -1.69234456997503 0.0249885655190448 -0.243645056220025 3.79669688187457
1.76 0.0563120935140545 -2.07104012600647 -1.56002160525251 0.0263523284465354 -0.1252147964322 4.31195366749643
1.8 0.973675269693359 -1.65429079114626 -1.05366294432058 0.384245947580515 -0.0673408578755578 4.27834088222577
1.84 1.34084865726178 -1.62758456139329 -1.34691725761328 0.027532054345683 0.0835221909677736 4.32902022104696
1.88 0.88303927447372 -1.65882444074466 -1.2438969989984 0.0601908535858059 -0.214101866235196 4.36808275233482
1.92 1.0327475912513 -1.86003876385296 -0.755801774534451 -0.0219396356039466 -0.132203459584711 4.67119924180567
