# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
100 0.0163781 0.0114868 0.0149125 0.0427775 191.37
200 0.0663668 0.0453743 0.0589705 0.170712 223.795
300 0.101697 0.0752493 0.101292 0.278239 261.846
400 0.130304 0.0933147 0.109905 0.333524 284.342
500 0.157703 0.125853 0.116323 0.399878 300.194
600 0.185262 0.137993 0.133987 0.457242 323.859
700 0.18191 0.143508 0.133712 0.459129 304.365
800 0.185253 0.150807 0.134556 0.470617 293.674
900 0.168832 0.140245 0.125229 0.434307 294.103
1000 0.163692 0.130158 0.120265 0.414115 299.891
1100 0.157297 0.121839 0.128702 0.407838 298.3
1200 0.167235 0.134809 0.13107 0.433115 298.069
1300 0.173529 0.156159 0.138137 0.467825 307.952
1400 0.191572 0.150773 0.138334 0.480679 309.886
1500 0.191682 0.1622 0.140872 0.494753 297.999
1600 0.198606 0.180384 0.156928 0.535918 292.49
1700 0.219456 0.195579 0.193068 0.608103 294.403
1800 0.240722 0.214447 0.198513 0.653682 311.522
1900 0.24212 0.222571 0.209807 0.674498 307.083
2000 0.234286 0.206859 0.205988 0.647133 316.899
2100 0.238648 0.210451 0.18795 0.637049 311.946
2200 0.221555 0.211813 0.181083 0.614451 291.434
2300 0.216555 0.209758 0.184667 0.610981 297.769
2400 0.211345 0.188901 0.168036 0.568282 299.785
2500 0.214487 0.183686 0.167413 0.565586 306.433
2600 0.226748 0.193617 0.17564 0.596006 299.203
2700 0.235468 0.202864 0.180929 0.619261 315.833
2800 0.215089 0.203845 0.184474 0.603408 314.403
2900 0.199252 0.20108 0.178652 0.578985 292.454
3000 0.207128 0.185797 0.169391 0.562316 297.737
3100 0.2387 0.187606 0.186422 0.612729 296.287
3200 0.256909 0.207833 0.204163 0.668905 304.825
3300 0.271277 0.227073 0.231578 0.729928 324.996
3400 0.272991 0.236882 0.235843 0.745716 323.651
3500 0.283465 0.230748 0.237248 0.751461 302.357
3600 0.300327 0.222427 0.235511 0.758265 294.423
3700 0.278285 0.212178 0.218005 0.708468 300.415
3800 0.26516 0.218135 0.21348 0.696775 303.961
3900 0.289148 0.22463 0.240255 0.754032 299.812
4000 0.273666 0.22368 0.233531 0.730877 301.992
4100 0.257873 0.231461 0.214183 0.703517 296.515
4200 0.254984 0.216207 0.196532 0.667723 298.295
4300 0.249327 0.211172 0.20036 0.660859 289.443
4400 0.248362 0.214402 0.215603 0.678367 292.921
4500 0.254943 0.220809 0.213461 0.689214 309.664
4600 0.252343 0.224917 0.215723 0.692983 306.27
4700 0.262541 0.223601 0.226448 0.71259 306.003
4800 0.275563 0.226432 0.222584 0.724578 285.773
4900 0.268379 0.228035 0.225674 0.722088 297.69
5000 0.277472 0.239017 0.234889 0.751377 300.162
