# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
100 0.0162409 0.0220167 0.0259587 0.0642163 203.703
200 0.0976642 0.178469 0.152612 0.428745 338.148
300 0.233 0.321213 0.252346 0.806559 345.695
400 0.335834 0.400697 0.320278 1.05681 345.492
500 0.415242 0.36822 0.437723 1.22119 319.763
600 0.438549 0.405242 0.429835 1.27363 302.105
700 0.428668 0.430117 0.419007 1.27779 294.213
800 0.437519 0.455522 0.534873 1.42791 296.979
900 0.513188 0.485174 0.600149 1.59851 287.071
1000 0.518978 0.503323 0.608056 1.63036 304.872
1100 0.536371 0.547937 0.621866 1.70617 330.335
1200 0.602014 0.582289 0.612988 1.79729 314.2
1300 0.596007 0.604964 0.649833 1.8508 315.648
1400 0.635271 0.599094 0.654229 1.88859 318.884
1500 0.693202 0.669248 0.681308 2.04376 347.548
1600 0.634505 0.71912 0.761425 2.11505 355.247
1700 0.645136 0.644512 0.858051 2.1477 320.582
1800 0.745386 0.669708 0.883679 2.29877 330.227
1900 0.779125 0.693778 0.95467 2.42757 337.517
2000 0.796027 0.775709 1.0354 2.60714 317.918
2100 0.811443 0.852515 1.08611 2.75007 329.141
2200 0.860636 0.900039 1.09772 2.8584 323.204
2300 0.848149 0.870455 1.2267 2.9453 304.576
2400 0.858257 0.871371 1.33755 3.06718 286.731
2500 0.880723 0.894307 1.29775 3.07278 293.375
2600 0.950059 0.926354 1.30073 3.17714 289.447
2700 0.925353 0.931065 1.33129 3.1877 334.262
2800 0.969677 0.975301 1.40451 3.34949 347.371
2900 0.982727 0.999758 1.50043 3.48292 326.039
3000 1.03174 1.00263 1.70438 3.73875 299.07
3100 0.997673 0.974857 1.68635 3.65888 294.574
3200 1.02025 0.967702 1.58343 3.57138 296.435
3300 1.00619 0.936989 1.50688 3.45006 297.44
3400 0.977742 0.948027 1.56712 3.49289 297.107
3500 0.977618 0.934354 1.618 3.52997 310.506
3600 0.948079 0.963212 1.59776 3.50905 309.536
3700 0.941361 1.00187 1.55806 3.50129 290.987
3800 0.939576 0.972193 1.52568 3.43745 286.687
3900 0.906956 0.906467 1.52297 3.33639 293.55
4000 0.921413 0.899962 1.5055 3.32688 303.26
4100 0.938487 0.927301 1.52779 3.39358 299.549
4200 0.905915 0.982266 1.5542 3.44238 302.685
4300 0.863702 0.968761 1.55688 3.38935 300.251
4400 0.801311 0.993042 1.54332 3.33767 292.341
4500 0.770161 1.01018 1.53026 3.31061 281.513
4600 0.806244 0.994882 1.50981 3.31094 299.515
4700 0.84183 1.02738 1.46451 3.33372 310.047
4800 0.886259 1.09254 1.45787 3.43666 305.679
4900 0.936524 1.07127 1.38757 3.39536 289.792
5000 0.971471 1.05342 1.34938 3.37427 288.407
