# Time-averaged data for fix CPR
# TimeStep c_VIR[1] c_VIR[2] c_VIR[3] c_VIR[4] c_VIR[5] c_VIR[6]
28 -47013.7 -116442 -36016.1 -5356.89 1101.26 3991.7
29 -48791.2 -110474 -36368.4 -5108.25 2216.9 4471.59
30 -50645.1 -104911 -36825.2 -5014.68 3225.87 5142.34
31 -52251.7 -99458.7 -37212.9 -5080.31 4051.52 6033.78
32 -53580.2 -94071.9 -37521.6 -5220.52 4711.66 7017.67
33 -54551.3 -88584.2 -37644.3 -5403.46 5208.94 8048.05
34 -55336.1 -83151.7 -37735 -5609.36 5554.19 8974.64
35 -55928.5 -77974.8 -37801.4 -5811.36 5778.47 9805.48
36 -56347.7 -73188.1 -37856.7 -5992.45 5797.88 10507.7
37 -56591 -68942.4 -37980.3 -6113.37 5685.82 11048.4
38 -56821.1 -65374.7 -38304.4 -6124.13 5387.43 11452.3
39 -56876.6 -62570.2 -38872.1 -5977.24 4896.24 11691.3
40 -56585.9 -60438.8 -39677.1 -5436.71 4074.58 11645.3
41 -55826.1 -58908 -40827.1 -4189.1 2794.95 11170.3
42 -54619.4 -58034.9 -42418 -2037.24 1045.81 10224.2
43 -53108.5 -57750.9 -44175.6 483.034 -881.133 8981.59
44 -51826.3 -58115.3 -45679.4 2561.63 -2660.18 7804.02
45 -51112.3 -59385.8 -46775.3 3687.26 -4179.7 6843.28
46 -51275.5 -61778.1 -47340.2 3562.04 -5244.24 6134.36
47 -52254 -64826.1 -46908.6 1795.44 -5591.14 5929.17
48 -53430.3 -67877.8 -45377.2 -1289.05 -5246.09 6212.87
49 -54034.7 -70532.2 -43411.8 -3995.6 -4979.64 6319.52
50 -53532.1 -72631.3 -41402.4 -5566.25 -5291.05 6025.38
51 -52126.7 -74045.8 -38998.9 -6670.86 -6114.78 5648.03
52 -50086.4 -74690.2 -36010.2 -7802.98 -7221.32 5473.88
53 -47722.3 -74799.6 -32623.5 -8833.68 -8294.52 5363.66
54 -44959.3 -74610.8 -28984.3 -9258.54 -8963 4749.91
55 -41903.1 -74402.8 -25217.5 -8623.1 -8871.53 3354.71
56 -38629.8 -74365.6 -21383.4 -6845.89 -8041.41 1113.58
57 -35105.8 -74663.9 -17571.5 -4609.8 -6772.45 -1440.32
58 -31898 -75867.6 -14112.3 -2802.33 -5661.11 -3330.67
59 -28904.4 -77513.6 -11043 -1629.71 -4864.79 -4378.42
60 -26056.3 -79058.7 -8229.24 -856.036 -4250.08 -4884.74
61 -23189.9 -80217.2 -5246.25 -355.617 -3567.19 -5208.88
62 -20341.4 -81374.3 -1824.68 -198.885 -2747.74 -5381.86
63 -17579.1 -82734.2 1788.39 -335.896 -1893.34 -5343.23
64 -14881.1 -84242.1 5382.57 -440.061 -1028.1 -5214.36
65 -12562.4 -85768.4 8620.58 -446.233 -200.884 -5155.39
66 -10718 -87360.3 11259.2 -303.294 525.14 -5103.12
67 -9474.01 -89010 13209.6 6.21022 1131.32 -5066.52
68 -8647.33 -90526.1 14645.2 466.182 1574.31 -5020.55
69 -7961.25 -91638.8 15985.4 1008.4 1875.11 -4912.09
70 -7182.77 -92045.7 17688.9 1539.38 2099.59 -4743.65
71 -6593.77 -91972.1 19621.5 1944.92 2333.55 -4621.39
72 -6719.24 -92064.7 21262.6 2106.27 2876.38 -4719.7
73 -7586.52 -92427.6 22650.8 1858.36 3947.82 -5359.58
74 -8403.37 -92249.2 24769.8 1305.9 5629.89 -6528.03
75 -9103.38 -91692.6 26606.3 979.19 7384.92 -7145.21
76 -10596.1 -92592.3 25065.7 1444.28 8611.03 -5640.27
77 -11029.9 -92322.2 23631.3 2529.87 8577.26 -2992.92
78 -11147.6 -91169.8 22216 4168.36 7685.37 334.37
