# step strain stress
#
12900 0.644 66.4137
12950 0.6465 66.4394
13000 0.649 66.6121
13050 0.6515 66.737
13100 0.654 66.717
13150 0.6565 66.5761
13200 0.659 66.6453
13250 0.6615 66.9631
13300 0.664 67.1677
13350 0.6665 67.0362
13400 0.669 67.1933
13450 0.6715 67.0677
13500 0.674 67.3469
13550 0.6765 67.0864
13600 0.679 67.4128
13650 0.6815 67.5318
13700 0.684 67.5106
13750 0.6865 67.4244
13800 0.689 67.7733
13850 0.6915 67.6094
13900 0.694 67.7247
13950 0.6965 68.0049
14000 0.699 67.8732
14050 0.7015 67.8341
14100 0.704 67.9106
14150 0.7065 68.0513
14200 0.709 68.228
14250 0.7115 68.1864
14300 0.714 68.1615
14350 0.7165 68.2631
14400 0.719 68.5371
14450 0.7215 68.5791
14500 0.724 68.4731
14550 0.7265 68.6307
14600 0.729 68.161
14650 0.7315 68.6239
14700 0.734 68.7489
14750 0.7365 68.7144
14800 0.739 68.7315
14850 0.7415 68.8515
14900 0.744 69.0732
14950 0.7465 69.0394
15000 0.749 69.1772
15050 0.7515 69.3468
15100 0.754 69.233
15150 0.7565 69.354
15200 0.759 69.507
15250 0.7615 69.4193
15300 0.764 69.6766
15350 0.7665 69.5345
15400 0.769 69.5742
15450 0.7715 69.7001
15500 0.774 69.6802
15550 0.7765 70.1832
15600 0.779 70.2972
15650 0.7815 70.2615
15700 0.784 70.0854
15750 0.7865 70.2461
15800 0.789 70.5569
15850 0.7915 70.6028
15900 0.794 70.629
15950 0.7965 70.7452
16000 0.799 70.7521
16050 0.8015 70.8133
16100 0.804 71.1232
16150 0.8065 71.3846
16200 0.809 71.3225
16250 0.8115 71.3406
16300 0.814 71.2659
16350 0.8165 71.902
16400 0.819 71.8535
16450 0.8215 71.8762
16500 0.824 71.8554
16550 0.8265 72.1157
16600 0.829 72.4307
16650 0.8315 72.4782
16700 0.834 72.4939
16750 0.8365 72.5806
16800 0.839 72.7377
16850 0.8415 72.8827
16900 0.844 72.7121
16950 0.8465 72.1545
17000 0.849 71.2683
17050 0.8515 68.8045
17100 0.854 65.1164
17150 0.8565 59.6871
17200 0.859 55.4988
17250 0.8615 47.7421
17300 0.864 37.3205
17350 0.8665 27.5889
17400 0.869 20.6531
17450 0.8715 17.4179
17500 0.874 12.3339
17550 0.8765 7.45003
17600 0.879 4.6394
17650 0.8815 3.41323
17700 0.884 1.96897
17750 0.8865 1.67714
17800 0.889 1.80587
17850 0.8915 0.788774
17900 0.894 0.715868
17950 0.8965 0.729481
18000 0.899 0.746522
18050 0.9015 0.802431
18100 0.904 1.12867
18150 0.9065 0.386049
18200 0.909 0.594301
18250 0.9115 0.126028
18300 0.914 0.0447539
18350 0.9165 -0.300778
18400 0.919 -0.507809
18450 0.9215 -0.561442
18500 0.924 -0.57835
18550 0.9265 -0.0356311
18600 0.929 0.0567098
18650 0.9315 0.257856
18700 0.934 0.129772
18750 0.9365 0.561871
18800 0.939 0.555909
18850 0.9415 0.380119
18900 0.944 0.265731
18950 0.9465 0.0386839
19000 0.949 -0.321009
19050 0.9515 -0.318437
19100 0.954 -0.475483
19150 0.9565 -0.337596
19200 0.959 -0.554995
19250 0.9615 -0.896032
19300 0.964 -0.493253
19350 0.9665 -0.47906
19400 0.969 -0.469523
19450 0.9715 -0.377471
19500 0.974 0.0123896
19550 0.9765 -0.120258
19600 0.979 -0.195074
19650 0.9815 -0.245133
19700 0.984 0.185718
19750 0.9865 0.00583283
19800 0.989 -0.153035
19850 0.9915 -0.100204
19900 0.994 -0.45628
19950 0.9965 -0.394405
