# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
100 0.0171305 0.018357 0.0200564 0.0555438 190.857
200 0.0689371 0.0789919 0.0846465 0.232576 240.425
300 0.139533 0.163613 0.153401 0.456547 283.729
400 0.222988 0.260844 0.240701 0.724533 326.441
500 0.320251 0.391076 0.332493 1.04382 331.892
600 0.411204 0.496324 0.410726 1.31825 330.18
700 0.490972 0.600491 0.501391 1.59285 321.587
800 0.617512 0.747307 0.57832 1.94314 305.158
900 0.732972 0.813927 0.596838 2.14374 305.746
1000 0.718048 0.847733 0.651437 2.21722 346.007
1100 0.678488 0.907548 0.742931 2.32897 327.312
1200 0.665686 0.944684 0.798658 2.40903 325.364
1300 0.661092 0.999814 0.819151 2.48006 329.879
1400 0.743484 1.11517 0.861096 2.71975 312.356
1500 0.812756 1.14668 0.951678 2.91111 315.522
1600 0.882213 1.16459 1.01857 3.06538 327.27
1700 0.990164 1.2452 1.06751 3.30287 349.202
1800 1.07974 1.36391 1.1292 3.57285 328.277
1900 1.15608 1.45879 1.2101 3.82497 372.935
2000 1.22896 1.54722 1.36507 4.14125 336.211
2100 1.28759 1.62981 1.50834 4.42574 328.56
2200 1.3675 1.67208 1.66044 4.70002 319.811
2300 1.43896 1.6519 1.72121 4.81207 301.176
2400 1.55536 1.60201 1.80173 4.9591 287.743
2500 1.71841 1.65242 1.81768 5.18851 290.572
2600 1.72809 1.70813 1.99989 5.43611 304.203
2700 1.77936 1.74207 2.06667 5.5881 314.659
2800 1.89525 1.71381 2.07382 5.68288 322.923
2900 1.89336 1.73198 2.12048 5.74583 356.364
3000 1.925 1.95802 2.16232 6.04534 361.952
3100 2.10953 1.97843 2.23742 6.32538 358.749
3200 2.15615 2.02047 2.21781 6.39443 380.661
3300 2.16162 2.13064 2.26198 6.55423 374.554
3400 2.25057 2.14767 2.36002 6.75826 342.882
3500 2.25624 2.20968 2.43733 6.90325 306.516
3600 2.3056 2.23855 2.4827 7.02685 290.56
3700 2.31273 2.34552 2.56527 7.22351 299.684
3800 2.47314 2.33958 2.5877 7.40042 293.99
3900 2.6278 2.42216 2.58742 7.63737 299.162
4000 2.83949 2.39916 2.59097 7.82963 306.859
4100 3.01037 2.46201 2.55892 8.0313 301.653
4200 3.16163 2.38162 2.56701 8.11026 297.577
4300 3.08966 2.38503 2.57697 8.05167 292.219
4400 3.02797 2.36629 2.55724 7.9515 298.732
4500 2.97206 2.32132 2.56647 7.85985 317.682
4600 2.87034 2.35086 2.53943 7.76062 310.418
4700 2.86285 2.33131 2.56294 7.7571 305.18
4800 2.95241 2.352 2.55865 7.86306 297.931
4900 3.00692 2.43163 2.42367 7.86222 299.382
5000 3.00424 2.44571 2.41422 7.86417 302.416
