# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
100 0.0148387 0.0131898 0.0157727 0.0438013 170.483
200 0.0573667 0.0510619 0.0526581 0.161087 230.307
300 0.115065 0.126874 0.121687 0.363626 300.506
400 0.224272 0.23162 0.217586 0.673478 331.219
500 0.318417 0.32084 0.305203 0.94446 316.206
600 0.349915 0.354783 0.350309 1.05501 331.686
700 0.395976 0.435994 0.383878 1.21585 335.987
800 0.441035 0.521803 0.418515 1.38135 317.779
900 0.457611 0.53803 0.441491 1.43713 302.647
1000 0.454376 0.596897 0.453139 1.50441 301.112
1100 0.555534 0.63705 0.479704 1.67229 300.745
1200 0.648725 0.665266 0.518962 1.83295 284.101
1300 0.70494 0.673638 0.553777 1.93236 294.252
1400 0.749851 0.68625 0.614002 2.0501 309.325
1500 0.758993 0.734707 0.688695 2.1824 312.731
1600 0.794599 0.773673 0.748208 2.31648 298.29
1700 0.817255 0.798923 0.745543 2.36172 299.936
1800 0.759749 0.839578 0.7224 2.32173 309.753
1900 0.77451 0.801855 0.696013 2.27238 315.432
2000 0.777759 0.768881 0.675378 2.22202 320.038
2100 0.77454 0.762831 0.696389 2.23376 318.769
2200 0.755013 0.79597 0.710563 2.26155 298.562
2300 0.731881 0.805316 0.712231 2.24943 302.968
2400 0.745809 0.814296 0.727406 2.28751 296.926
2500 0.729124 0.812591 0.7415 2.28321 292.192
2600 0.671951 0.832537 0.727452 2.23194 299.793
2700 0.660769 0.870173 0.708474 2.23942 322.044
2800 0.69283 0.870126 0.709157 2.27211 310.213
2900 0.694673 0.860106 0.689949 2.24473 290.96
3000 0.677768 0.829989 0.676439 2.1842 293.827
3100 0.703395 0.8134 0.694462 2.21126 290.891
3200 0.700278 0.842155 0.690246 2.23268 301.235
3300 0.649528 0.863752 0.676732 2.19001 311.143
3400 0.693219 0.840655 0.70443 2.2383 309.85
3500 0.688988 0.816722 0.714001 2.21971 289.982
3600 0.701803 0.802597 0.708476 2.21288 301.503
3700 0.777534 0.801819 0.705811 2.28516 299.119
3800 0.798579 0.816332 0.737588 2.3525 306.317
3900 0.80279 0.790812 0.792512 2.38612 319.26
4000 0.801845 0.784501 0.798992 2.38534 301.072
4100 0.782784 0.78126 0.752811 2.31686 291.068
4200 0.786186 0.786843 0.755743 2.32877 291.268
4300 0.735556 0.813776 0.742417 2.29175 308.366
4400 0.720746 0.910657 0.698457 2.32986 297.528
4500 0.749462 0.970713 0.703368 2.42354 281.374
4600 0.826021 0.947948 0.734375 2.50834 303.685
4700 0.808796 0.919177 0.746719 2.47469 313.623
4800 0.81106 0.960138 0.741356 2.51255 298.13
4900 0.851194 1.02556 0.774158 2.65092 282.028
5000 0.860851 1.0527 0.756276 2.66982 297.459
