Structure                Density      Youngs(GPa)
333-EXP-11-vasp-an       1.6588329    15.9262
333-EXP-1-vasp-an        1.6358887    28.4200
333-EXP-27-vasp-an       1.6481575    19.2179
333-EXP-6-vasp-an        1.5607701    15.8209
333-HD-100C-11-VASP-an   1.9047473    50.9044
333-HD-100C-14-VASP-an   1.9245713    47.3576
333-HD-100C-20-VASP-an   1.9519943    27.9720
333-RV-31-vasp-an        1.4789743    22.1284
333-RV-32-vasp-an        1.4455902    20.4570
333U-50C-14-vasp-an      1.6763015    15.4362
333U-50C-1-vasp-an       1.6996713    40.7701
333U-50C-20-vasp-an      1.7519016    36.6473
333U-50C-26-vasp-an      1.6496984    27.7952
333U-50C-33-vasp-an      1.6943275    38.0537
333U-50C-48-vasp-an      1.7098395    33.1698
333U-50C-5-vasp-an       1.737228     35.2701
333U-50C-9-vasp-an       1.7458365     5.4622
