# Time-averaged data for fix myRDF
# TimeStep Number-of-rows
# Row c_rdf1[1] c_rdf1[2] c_rdf1[3]
100 100
60 5.95 0.981194 81.6354
61 6.05 0.982458 85.7617
62 6.15 0.996071 90.0846
63 6.25 1.01215 94.6211
64 6.35 0.971268 99.1149
65 6.45 0.966156 103.727
66 6.55 0.997221 108.636
67 6.65 0.996223 113.691
68 6.75 1.00177 118.928
69 6.85 0.994057 124.28
70 6.95 1.01022 129.879
71 7.05 0.997477 135.567
72 7.15 1.03535 141.641
73 7.25 1.03729 147.897
74 7.35 1.00686 154.138
75 7.45 1.00795 160.557
76 7.55 0.991776 167.043
77 7.65 1.03004 173.96
78 7.75 1.03645 181.103
79 7.85 1.02061 188.319
80 7.95 1.00168 195.583
81 8.05 1.0107 203.098
82 8.15 1.00701 210.773
83 8.25 1.01101 218.669
84 8.35 1.00459 226.705
85 8.45 1.00328 234.925
86 8.55 0.998867 243.303
87 8.65 1.02484 252.102
88 8.75 1.02409 261.098
89 8.85 1.00688 270.147
90 8.95 1.00079 279.345
91 9.05 0.975906 288.516
92 9.15 0.970307 297.837
93 9.25 0.981973 307.478
94 9.35 0.996417 317.473
95 9.45 0.965009 327.361
96 9.55 1.00588 337.887
97 9.65 1.0167 348.75
98 9.75 1.00363 359.697
99 9.85 1.00392 370.873
100 9.95 0.97906 381.995
400 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0.261685 0.0331429
12 1.15 3.54021 0.570857
13 1.25 0.305747 0.625714
14 1.35 0.071009 0.640571
15 1.45 0.0496977 0.652571
16 1.55 1.46659 1.05714
17 1.65 2.06763 1.70343
18 1.75 0.954018 2.03886
19 1.85 1.23911 2.52571
20 1.95 1.34174 3.11143
21 2.05 0.445355 3.32629
22 2.15 0.245518 3.45657
23 2.25 0.35595 3.66343
24 2.35 0.600315 4.044
25 2.45 0.723122 4.54229
26 2.55 1.07175 5.34229
27 2.65 1.39578 6.46743
28 2.75 1.3402 7.63086
29 2.85 1.19756 8.74743
30 2.95 0.939352 9.68571
31 3.05 0.958964 10.7097
32 3.15 0.871482 11.7023
33 3.25 0.85636 12.7406
34 3.35 0.862282 13.8514
35 3.45 0.897615 15.0777
36 3.55 0.982813 16.4994
37 3.65 0.966705 17.9777
38 3.75 0.931399 19.4811
39 3.85 1.02307 21.2217
40 3.95 1.02486 23.0571
41 4.05 1.11751 25.1611
42 4.15 1.13833 27.4114
43 4.25 1.18133 29.8606
44 4.35 1.13047 32.316
45 4.45 1.05667 34.7177
46 4.55 0.998215 37.0897
47 4.65 0.984549 39.5331
48 4.75 0.98365 42.0806
49 4.85 1.00487 44.7937
50 4.95 1.01022 47.6349
51 5.05 1.03678 50.6697
52 5.15 1.03934 53.8337
53 5.25 0.997767 56.9903
54 5.35 1.02135 60.3457
55 5.45 0.993953 63.7343
56 5.55 0.977629 67.1909
57 5.65 0.952124 70.6794
58 5.75 0.951661 74.2909
59 5.85 0.96203 78.0697
60 5.95 0.947535 81.92
61 6.05 0.939996 85.8691
62 6.15 0.949966 89.9931
63 6.25 0.97692 94.3731
64 6.35 0.978108 98.9
65 6.45 0.971823 103.541
66 6.55 1.00538 108.491
67 6.65 1.01129 113.625
68 6.75 1.01238 118.919
69 6.85 0.995985 124.283
70 6.95 1.03048 129.996
71 7.05 1.0156 135.79
72 7.15 1.01998 141.775
73 7.25 0.996701 147.788
74 7.35 1.0471 154.281
75 7.45 1.01791 160.765
76 7.55 0.998542 167.298
77 7.65 1.02909 174.211
78 7.75 1.01442 181.204
