# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4]
12000 2.53973 2.88315 2.74896 8.17185
12100 2.71667 2.82692 2.64592 8.1895
12200 2.84865 2.94037 2.56124 8.35025
12300 2.82349 3.01573 2.60041 8.43964
12400 2.75853 3.09543 2.74549 8.59945
12500 2.8503 3.12598 2.74473 8.721
12600 2.91258 3.13413 2.70338 8.75009
12700 2.90775 3.21566 2.72613 8.84955
12800 2.91577 3.31243 2.79273 9.02093
12900 2.98034 3.36522 2.91097 9.25653
13000 3.06765 3.24272 2.83654 9.14692
13100 3.22345 3.23541 2.73915 9.19801
13200 3.14988 3.31423 2.78048 9.24459
13300 3.07229 3.39916 2.81937 9.29083
13400 3.10092 3.52587 2.80055 9.42734
13500 3.04109 3.56036 2.86963 9.47108
13600 2.9469 3.62304 2.865 9.43494
13700 2.9464 3.61758 2.74467 9.30864
13800 3.0776 3.6471 2.72153 9.44624
13900 3.17984 3.59617 2.72207 9.49808
14000 3.17364 3.49964 2.71807 9.39135
14100 3.13592 3.52732 2.74329 9.40653
14200 3.06731 3.4993 2.88819 9.4548
14300 2.93028 3.49535 3.01308 9.43872
14400 2.8545 3.46274 2.9822 9.29944
14500 2.84339 3.46223 3.02048 9.3261
14600 2.85355 3.54421 3.03994 9.43769
14700 2.83029 3.50852 3.00678 9.3456
14800 2.78666 3.61118 2.90188 9.29972
14900 2.8382 3.82422 2.82826 9.49068
15000 2.83923 3.93472 2.8196 9.59355
15100 2.82488 3.93382 2.88991 9.64861
15200 2.82097 3.87569 2.88429 9.58095
15300 2.87328 4.0416 2.89405 9.80893
15400 2.92944 4.08623 2.86145 9.87712
15500 2.95392 4.09925 2.84412 9.89729
15600 2.93638 4.04065 2.93908 9.91612
15700 2.96751 3.94981 2.93815 9.85548
15800 2.90933 3.82204 2.91847 9.64983
15900 2.82857 3.7162 2.95026 9.49503
16000 2.77251 3.6243 2.98666 9.38347
16100 2.73781 3.62139 2.9806 9.3398
16200 2.78637 3.55053 2.87737 9.21427
16300 2.90004 3.5347 2.93251 9.36725
16400 2.89706 3.54654 3.05102 9.49462
16500 2.79255 3.55422 3.09569 9.44246
16600 2.7753 3.69016 3.09267 9.55813
16700 2.80173 3.70319 3.02965 9.53457
16800 2.89366 3.84672 2.93848 9.67886
16900 2.95007 3.90827 2.88582 9.74415
17000 2.95823 3.96762 2.92126 9.84711
17100 2.88659 4.05953 2.99246 9.93858
17200 2.8659 4.06663 2.97637 9.9089
17300 2.85633 3.9882 2.92608 9.77061
17400 2.74902 3.88029 2.89767 9.52698
17500 2.70889 3.75175 2.95759 9.41824
17600 2.71943 3.71058 3.0042 9.43422
17700 2.81752 3.70635 2.99432 9.5182
17800 2.92084 3.66923 2.9948 9.58486
17900 2.9103 3.75006 3.00065 9.66102
18000 2.86798 3.74236 2.98283 9.59317
18100 2.88368 3.71677 3.00161 9.60205
18200 2.91434 3.67832 2.94909 9.54174
18300 2.8683 3.70834 2.89679 9.47344
18400 2.80972 3.76017 2.91867 9.48856
18500 2.76829 3.79161 2.94883 9.50872
18600 2.73013 3.75278 2.9991 9.48201
18700 2.68911 3.69378 3.03391 9.41681
18800 2.76892 3.77479 2.99465 9.53837
18900 2.79878 3.87342 2.9677 9.63991
19000 2.75691 3.88154 2.91144 9.54989
