# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
100 0.0131192 0.0144679 0.0128122 0.0403993 185.244
200 0.0588134 0.0745982 0.0632496 0.196661 238.456
300 0.122033 0.141288 0.129911 0.393232 290.871
400 0.208632 0.210015 0.206251 0.624898 376.09
500 0.336901 0.287487 0.242414 0.866802 386.719
600 0.361379 0.358067 0.297314 1.01676 370.67
700 0.428446 0.410317 0.332367 1.17113 357.285
800 0.512188 0.4276 0.350627 1.29041 328.49
900 0.550149 0.46451 0.361486 1.37615 325.4
1000 0.595258 0.463582 0.360285 1.41912 338.419
1100 0.649819 0.508635 0.419832 1.57829 318.219
1200 0.666887 0.54758 0.519416 1.73388 292.948
1300 0.675629 0.567231 0.522448 1.76531 302.189
1400 0.717966 0.549749 0.518517 1.78623 305.938
1500 0.706607 0.544965 0.552646 1.80422 298.069
1600 0.765481 0.601923 0.629674 1.99708 284.196
1700 0.818411 0.600706 0.589284 2.0084 319.164
1800 0.914822 0.593537 0.575638 2.084 315.21
1900 0.942297 0.60322 0.598426 2.14394 289.554
2000 0.95005 0.635491 0.644295 2.22984 286.702
2100 0.987915 0.660408 0.6534 2.30172 293.173
2200 0.923476 0.687799 0.650168 2.26144 319.326
2300 0.972057 0.692692 0.650307 2.31506 320.246
2400 1.01404 0.710534 0.634508 2.35908 311.23
2500 1.00894 0.705724 0.649508 2.36418 294.502
2600 1.00537 0.714774 0.623138 2.34328 278.298
2700 0.988863 0.717921 0.634469 2.34125 294.614
2800 1.01019 0.736616 0.667483 2.41429 311.592
2900 1.06601 0.785511 0.697619 2.54914 307.576
3000 1.12287 0.844667 0.699069 2.6666 294.263
3100 1.1823 0.872764 0.675696 2.73076 304.328
3200 1.22333 0.909753 0.686108 2.81919 309.902
3300 1.24642 1.00141 0.720082 2.96791 300.021
3400 1.2973 1.10003 0.762366 3.1597 296.791
3500 1.3538 1.1799 0.836099 3.3698 306.343
3600 1.4164 1.20015 0.893525 3.51008 307.679
3700 1.44413 1.2622 0.915107 3.62144 306.261
3800 1.44857 1.28675 0.931458 3.66677 310.875
3900 1.47487 1.26053 0.881211 3.61661 296.98
4000 1.49237 1.32444 0.880051 3.69686 303.274
4100 1.51463 1.35109 0.898862 3.76458 290.597
4200 1.51981 1.39841 0.912491 3.83071 289.222
4300 1.53191 1.36359 0.884824 3.78033 283.999
4400 1.53565 1.3471 0.904851 3.7876 294.833
4500 1.53325 1.37613 0.884397 3.79378 299.869
4600 1.53673 1.35561 0.864584 3.75693 315.717
4700 1.54303 1.32869 0.914163 3.78588 309.054
4800 1.55319 1.28246 0.9346 3.77026 311.658
4900 1.61515 1.22512 0.946583 3.78686 307.864
5000 1.66232 1.23428 1.00479 3.9014 292.319
