# Stress and strain vectors, 333U-50C-33-vasp, negative deformation 2
# eps sig1 sig2 sig3 sig4 sig5 sig6
0 -0 -0 -0 -0 -0 -0
-0.002 0.888287563500957 0.48820483413436 0.578342317181183 0.0282962452714509 -0.15952998842975 0.125915773145032
-0.00399999999999999 0.241844633099618 -0.0558748603641652 -0.00406648813036933 0.173403679047628 0.238827787667447 0.0659181515875543
-0.00599999999999999 0.225808517662397 0.411211636679962 0.0212485058476878 0.158947973215328 0.156612156988496 0.219415194646195
-0.008 0.575371775273127 0.303669081498391 0.804290187859854 0.158682468162029 0.268783449100482 0.223345820073448
-0.01 -0.153123739581004 -0.381677548070891 -0.175009181522958 0.198753581583127 0.176096413787084 0.187946053571851
-0.012 0.166283826874577 0.118566086322438 -0.169087130301591 0.126338928325701 0.11274810528485 -0.165252060826402
-0.014 -0.408447433908665 -0.519932890563704 -0.453914108510603 0.143367121796337 -0.0571966484562178 -0.0546758353221567
-0.016 0.231927145287277 -0.761052477760955 0.0774756530882181 -0.0983578388128788 0.171252554425779 0.0169379215655806
-0.018 0.309529417735972 -0.25530308985258 0.0514354590561458 0.0934663779139883 0.424614479061893 0.143240924620188
-0.02 -0.19576206138619 -0.996161983003319 -0.234409729477998 0.190326179228625 0.414580046725207 0.0489068607998448
-0.022 0.152118160347507 -0.496035435931018 0.358804350166199 0.00846651827024793 0.420929995979548 -0.442143991903665
-0.0239999999999999 0.353186177565748 -0.727654401952466 0.0417081638394436 -0.0752091745570439 0.167310140173742 -0.0695381205511261
-0.0259999999999999 0.452032641921461 -0.824232365496307 -0.0972940195584138 -0.0728908675538214 0.0208908297117595 -0.0934042820989303
-0.0279999999999999 0.0955241425988914 -1.23758247989887 -0.0891653923975647 0.0339989023345517 -0.0298121870821071 0.0564933676910922
-0.0299999999999999 -0.269352815220356 -1.50536602571003 -0.211603990079515 -0.0965165482434215 0.236845606798554 -0.180274996057389
-0.0319999999999999 0.151126283989178 -1.21378070777498 -0.0083444597063075 -0.0911061660956511 0.0521895292281311 0.0597573674417815
-0.0339999999999999 -0.514213284540625 -1.63632306984327 -0.746938537406878 0.0161539911659076 0.0685364343973886 0.0393323364662972
-0.0359999999999999 -0.0552828752093473 -1.73348440589926 -0.227584201648624 0.00582167482618022 0.384382074325563 -0.187884760008167
-0.0379999999999999 0.311433254215606 -1.44121004899785 -0.363383507242693 -0.131912857743961 0.473724202826484 0.319524627680886
-0.0399999999999999 0.110957866195787 -1.77045003054457 -0.136035377936866 -0.0954104658806594 0.369293882104738 0.272182266517963
-0.0419999999999999 -0.39539853438723 -2.36593295257942 -0.535389134271191 -0.060795374456535 0.0307505244140424 0.0247492014892092
-0.0439999999999999 -0.20348511127246 -1.82821684041211 -0.103135933532535 0.0572403398798604 0.22538605489755 0.139853009710637
-0.0460000000000001 -0.035940878839405 -2.38064966086544 -0.539900063961479 -0.145977888432645 0.335966976164464 0.0562773520185558
-0.0479999999999999 -0.0265394083830851 -2.49974451641831 -1.0576344491125 -0.496439883647952 0.0780515370990782 0.236585022775819
-0.0500000000000001 -0.603771915921669 -2.67638013716076 -0.799285342901229 -0.255664674914131 0.143158120184598 0.186780742663469
-0.0520000000000001 -0.624775562879423 -2.72977150332575 -0.923269827342539 -0.120744189628049 -0.0445306446740192 0.0709250553659212
