# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
14600 0.109859 0.145921 0.114972 0.370753 384.379
14700 0.105795 0.140015 0.120095 0.365906 398.417
14800 0.104359 0.143157 0.142531 0.390047 395.851
14900 0.107195 0.132407 0.132966 0.372568 397.472
15000 0.107034 0.124364 0.121872 0.35327 395.312
15100 0.108154 0.128223 0.120514 0.356891 415.185
15200 0.115984 0.145492 0.116636 0.378112 413.159
15300 0.110142 0.136435 0.105469 0.352046 406.674
15400 0.111072 0.141229 0.104836 0.357137 376.943
15500 0.119959 0.159501 0.11744 0.3969 400.855
15600 0.134186 0.166644 0.128157 0.428988 405.038
15700 0.13656 0.169407 0.136031 0.441999 410.913
15800 0.133684 0.164902 0.134771 0.433357 408.087
15900 0.133339 0.168866 0.137576 0.439781 418.148
16000 0.146637 0.168961 0.13968 0.455278 392.97
16100 0.149003 0.167199 0.146887 0.463089 386.265
16200 0.136418 0.167766 0.144386 0.448569 399.445
16300 0.130747 0.166919 0.139116 0.436782 402.794
16400 0.127316 0.161527 0.130755 0.419598 411.63
16500 0.115898 0.149632 0.130711 0.396241 437.251
16600 0.117334 0.176072 0.133838 0.427243 427.753
16700 0.126698 0.183428 0.130676 0.440802 403.1
16800 0.14145 0.184558 0.127178 0.453187 403.911
16900 0.139192 0.17968 0.125173 0.444045 412.454
17000 0.128101 0.165526 0.129996 0.423623 426.796
17100 0.127998 0.174364 0.13907 0.441432 426.684
17200 0.139493 0.181311 0.146328 0.467131 424.915
17300 0.14844 0.182684 0.144775 0.475899 416.591
17400 0.131273 0.190119 0.14646 0.467852 383.152
17500 0.114031 0.16899 0.12996 0.412982 402.12
17600 0.130343 0.178454 0.135398 0.444195 421.73
17700 0.148442 0.185076 0.151008 0.484526 423.352
17800 0.155492 0.193441 0.157457 0.50639 431.961
17900 0.145114 0.19447 0.150834 0.490418 438.617
18000 0.142311 0.195569 0.157101 0.494981 428.619
18100 0.151917 0.196198 0.15695 0.505065 405.719
18200 0.159208 0.200007 0.158281 0.517496 414.548
18300 0.157003 0.196422 0.149554 0.502979 428.19
18400 0.153181 0.189583 0.154024 0.496788 432.57
18500 0.149505 0.181972 0.159779 0.491256 440.624
18600 0.145893 0.190648 0.165948 0.502489 442.483
18700 0.147937 0.188232 0.163533 0.499702 411.978
18800 0.142715 0.176223 0.144025 0.462963 417.362
18900 0.147179 0.18698 0.15257 0.486729 431.164
19000 0.143337 0.192076 0.148766 0.48418 440.18
19100 0.145218 0.195801 0.167038 0.508057 447.693
19200 0.151585 0.190677 0.185509 0.527771 451.263
19300 0.15581 0.187061 0.19387 0.536741 430.761
19400 0.150514 0.199085 0.183775 0.533375 404.654
19500 0.154292 0.199631 0.183378 0.537301 410.955
19600 0.171975 0.197965 0.192568 0.562508 431.094
19700 0.172657 0.207744 0.203285 0.583687 446.449
19800 0.168315 0.210305 0.204824 0.583444 459.973
19900 0.172899 0.207977 0.178403 0.55928 463.358
20000 0.163086 0.203833 0.174526 0.541445 448.486
20100 0.151667 0.201283 0.176559 0.52951 432.859
20200 0.162091 0.198632 0.190966 0.551689 434.28
20300 0.174864 0.200371 0.197301 0.572536 459.63
20400 0.170343 0.195018 0.181252 0.546614 467.433
20500 0.170442 0.19786 0.189424 0.557726 468.903
20600 0.174557 0.206175 0.196453 0.577185 449.875
20700 0.172006 0.200848 0.190048 0.562902 442.355
20800 0.168623 0.196762 0.191414 0.556799 452.699
20900 0.16748 0.217632 0.2099 0.595011 483.998
21000 0.16868 0.24363 0.242901 0.655211 471.023
21100 0.170673 0.234318 0.234954 0.639946 463.252
21200 0.174758 0.243183 0.21776 0.6357 455.894
21300 0.170405 0.247597 0.212292 0.630295 464.042
21400 0.171667 0.237079 0.197147 0.605894 463.63
21500 0.172475 0.225615 0.2025 0.600591 461.984
21600 0.171708 0.223094 0.208564 0.603367 472.01
21700 0.171352 0.216431 0.219446 0.607229 474.548
21800 0.176082 0.215231 0.218442 0.609756 481.658
21900 0.175231 0.214242 0.214955 0.604428 484.244
22000 0.17155 0.213769 0.207951 0.593271 466.374
22100 0.169498 0.207248 0.207329 0.584075 448.32
22200 0.155146 0.194528 0.198275 0.54795 462.833
22300 0.160966 0.201047 0.204727 0.56674 475.882
22400 0.163691 0.213618 0.208681 0.58599 462.791
22500 0.159052 0.208872 0.206882 0.574807 480.653
22600 0.167263 0.209068 0.200506 0.576837 484.347
22700 0.173702 0.20382 0.184743 0.562265 488.094
22800 0.181389 0.18465 0.16934 0.535378 511.981
22900 0.179576 0.195602 0.180691 0.555869 496.381
23000 0.176083 0.183889 0.18148 0.541452 485.433
23100 0.169004 0.176847 0.161905 0.507756 463.422
23200 0.16076 0.171499 0.170218 0.502477 485.834
23300 0.154638 0.17741 0.187273 0.519321 493.306
23400 0.164382 0.178591 0.199335 0.542308 512.079
23500 0.174466 0.191973 0.200775 0.567214 514.434
23600 0.165698 0.186311 0.196176 0.548185 496.622
23700 0.187855 0.195434 0.206272 0.58956 484.891
23800 0.179933 0.190066 0.191911 0.56191 479.025
23900 0.181013 0.198698 0.185636 0.565348 479.899
24000 0.185153 0.213439 0.184629 0.583222 491.134
24100 0.171517 0.214369 0.185944 0.57183 505.882
24200 0.154924 0.202885 0.177681 0.535489 512.684
24300 0.155836 0.204312 0.186205 0.546353 483.057
24400 0.162218 0.180183 0.173838 0.51624 494.89
24500 0.168638 0.17584 0.177895 0.522373 508.922
24600 0.169682 0.17884 0.178682 0.527204 490.854
24700 0.165703 0.177119 0.176839 0.519661 480.522
24800 0.154219 0.174415 0.184101 0.512735 515.453
24900 0.145823 0.171695 0.184589 0.502106 523.873
25000 0.163816 0.169317 0.175483 0.508617 501.422
25100 0.175519 0.206439 0.186985 0.568943 491.376
25200 0.20133 0.228069 0.204861 0.634259 478.726
25300 0.217198 0.231277 0.209131 0.657605 499.497
25400 0.203106 0.224039 0.198097 0.625242 495.531
25500 0.181059 0.219608 0.210929 0.611597 524.071
25600 0.160011 0.2071 0.203725 0.570836 522.814
25700 0.159469 0.184187 0.183742 0.527398 491.018
25800 0.162437 0.187406 0.171869 0.521712 486.579
25900 0.16273 0.186517 0.175198 0.524445 498.23
26000 0.161715 0.187681 0.184638 0.534035 514.013
26100 0.163788 0.179893 0.174932 0.518612 516.433
26200 0.173857 0.166907 0.187221 0.527985 512.767
26300 0.170408 0.169209 0.200892 0.540509 502.517
26400 0.185484 0.18884 0.204272 0.578596 529.105
