# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
100 0.0257077 0.0320183 0.0251198 0.0828458 228.599
200 0.118971 0.232688 0.0927051 0.444365 375.752
300 0.226132 0.436166 0.192883 0.855181 445.7
400 0.505977 0.555286 0.299577 1.36084 423.862
500 0.71213 0.655651 0.412638 1.78042 369.626
600 0.725782 0.778675 0.535381 2.03984 327.383
700 0.782328 0.83896 0.638524 2.25981 348.124
800 0.86289 0.885613 0.700985 2.44949 344.01
900 0.889286 0.949458 0.784415 2.62316 331.706
1000 0.904987 1.04121 0.819418 2.76562 312.878
1100 0.938597 1.12586 0.87104 2.93549 295.854
1200 1.04004 1.19138 0.90493 3.13634 300.361
1300 1.09258 1.22176 0.901709 3.21605 299.068
1400 1.09467 1.2523 0.944966 3.29194 289.158
1500 1.12957 1.3426 0.908638 3.38082 308.442
1600 1.22176 1.417 0.960662 3.59942 312.538
1700 1.32882 1.49657 1.03186 3.85725 304.18
1800 1.35764 1.58751 1.06271 4.00786 292.505
1900 1.37905 1.63016 1.10563 4.11484 292.016
2000 1.38383 1.75063 1.12199 4.25644 292.698
2100 1.42368 1.75201 1.13954 4.31523 299.137
2200 1.49413 1.74903 1.17372 4.41687 315.622
2300 1.56537 1.77263 1.25609 4.59409 307.118
2400 1.62684 1.82842 1.32127 4.77652 298.45
2500 1.66442 1.86054 1.37366 4.89863 296.622
2600 1.68882 1.88762 1.34476 4.9212 297.807
2700 1.66144 1.96562 1.33408 4.96114 292.028
2800 1.69263 1.98962 1.3734 5.05566 310.194
2900 1.6604 1.98166 1.43543 5.07749 326.572
3000 1.60969 1.9691 1.53108 5.10988 311.72
3100 1.64989 1.96711 1.61113 5.22813 334.464
3200 1.64851 1.98049 1.69489 5.32389 305.167
3300 1.65638 2.03648 1.66025 5.35312 290.703
3400 1.69425 2.03931 1.68663 5.42019 314.291
3500 1.72057 2.05508 1.74986 5.52552 314.887
3600 1.8058 2.12774 1.83558 5.76912 308.166
3700 1.8538 2.23357 1.86812 5.9555 312.428
3800 1.86521 2.26867 1.89005 6.02393 319.081
3900 1.91114 2.33258 1.93132 6.17505 330.295
4000 1.90632 2.48185 1.97811 6.36629 317.065
4100 1.88408 2.62089 2.03705 6.54201 308.363
4200 1.91626 2.59374 2.12618 6.63617 306.893
4300 1.93139 2.48345 2.20913 6.62397 290.401
4400 1.98365 2.45068 2.29065 6.72498 295.246
4500 1.9978 2.5496 2.32363 6.87103 302.656
4600 1.99937 2.61495 2.39751 7.01183 301.838
4700 2.04072 2.60311 2.56831 7.21213 317.877
4800 2.08285 2.60271 2.64663 7.33219 316.96
4900 2.12397 2.65356 2.68818 7.46572 299.326
5000 2.14419 2.74141 2.61242 7.49803 297.569
