# Time-averaged data for fix vir
# TimeStep c_virial[1] c_virial[2] c_virial[3] c_virial[4] c_virial[5] c_virial[6]
0 -9820.82 -13394.4 2231.52 16485.3 27202.8 15681.9
1 -14582 -10456.3 984.212 15055 19549 9923.08
2 -17866.1 -8673.76 -307.222 12162.5 11037.2 3736.25
3 -18682.7 -9372.75 -1603.91 8885.41 3596.21 -1706.06
4 -17396.9 -12457.9 -2892.23 6243.47 -954.26 -5546.08
5 -15211.8 -16154.4 -4029.47 5081.1 -1335.81 -6751.3
6 -13348.4 -18939.8 -5014.9 5395.78 1666.68 -4942.82
7 -12552.9 -20416.7 -6006.56 6021.83 4909.43 -1595.6
8 -13057 -20471.5 -7025.55 5895.31 5802.32 1611.96
9 -14862 -19181.5 -8076.62 4811.76 3732.94 3785.7
10 -17326.9 -16920.2 -9036.42 3095.14 -108.078 4728.82
11 -19783 -14159.1 -9786.23 1145.4 -3553.67 4200.3
12 -21742.3 -11181.7 -10256.6 -1160.02 -4853.63 1414.13
13 -22801.5 -8258.35 -10381.4 -3958.9 -3666.03 -3755.37
14 -22124.6 -6745.57 -10403.8 -6185.42 -1669.23 -8969.42
15 -19221.7 -8066.9 -10670.3 -6501.33 -1313.9 -10979.3
16 -14886 -11946.3 -11328.9 -5135.76 -3808.14 -9467.54
17 -11122.9 -15647.9 -12047.7 -3684.55 -7904.78 -6988.6
18 -9780.47 -17075.7 -12700.3 -3290.1 -11079.1 -6011.02
19 -10461.1 -16490.3 -13364.2 -3345.35 -12119.9 -6062.19
20 -10989.4 -15344.6 -13732.2 -2729.57 -10732.8 -5351.36
21 -10225.3 -14533.3 -13634.9 -1024.02 -7143.98 -3187.8
22 -9079.78 -13873.6 -13226.1 1004.66 -2068.48 -375.323
23 -8748.82 -12943.9 -12771 2174.77 2595.77 1810.82
24 -9117.82 -12157.3 -12353.8 1665.69 4649.72 2588.01
25 -9605.95 -11964.1 -11972.2 -342.94 3574.74 2251.83
26 -9265.49 -12541.2 -11518.2 -2659 1271.09 2279.77
27 -7276.21 -13960.1 -10983.7 -4218.43 -532.833 3956.26
28 -3490.85 -16503.4 -10435.4 -5199.77 -2984.76 7019.17
29 699.112 -19311 -9861.79 -6108.24 -7447.29 9962.87
30 2036.69 -20522.2 -9374.05 -7035.12 -12224.8 10796.3
31 -1103.15 -19050.7 -9125.56 -8280.32 -14540.4 8572.85
32 -6698.75 -15726.8 -8742.49 -10552.4 -14219 3699.94
33 -11774.6 -12483.1 -8321.9 -13683.7 -12957.2 -2035.89
34 -14496.7 -10642.7 -7823.84 -16259.5 -11855.1 -6364.96
35 -13905.2 -11260.4 -7147.8 -17270.2 -11996.2 -7887
36 -10502.8 -14143.3 -6327.51 -16781.8 -13180.8 -6985.08
37 -6463.42 -17476 -5343.54 -15098.7 -13028.1 -5191.53
38 -4001.14 -19808 -4390.26 -12593.3 -10255.9 -3764.39
39 -2911.42 -21102.3 -3233.74 -9858.81 -6766.39 -2839.4
40 -1607.45 -22422.9 -1864.15 -7698.78 -5595.06 -1966.18
41 778.182 -24225.3 -191.978 -6248.02 -7527.92 -809.321
42 3203.75 -25744.2 1441.74 -5162.25 -10599.2 576.234
43 3977.24 -25686.4 2754.64 -4025.02 -12457.9 1715.2
