# Stress and strain vectors, 333-HD-100C-11-VASP, negative deformation 4
# eps sig1 sig2 sig3 sig4 sig5 sig6
0 -0 -0 -0 -0 -0 -0
-0.00399999999999999 -1.04967626844544 -1.18074702758009 -1.27963899097537 0.160213318533611 -0.14104797435881 -0.0484865661728052
-0.008 -1.13753685352656 -1.05169661938952 -0.850652896643092 0.0503215249961777 -0.116777046459466 -0.0921175526612358
-0.0120000000000001 -1.32917786828637 -1.47611682107323 -1.45025408364642 -0.15410187578888 -0.247162244221714 -0.395836870957815
-0.0160000000000001 -0.853915715654131 -0.72385890617214 -1.09742033803196 -0.117793357895813 -0.284685441428851 -0.160144152704511
-0.0200000000000001 -1.83612383906774 -1.19129852786661 -1.82584592445274 0.161475313593593 0.0433103239852728 -0.0983174861801949
-0.0240000000000001 -1.05994652919026 -0.578089569221379 -1.02093243564939 0.0043584239884605 0.0640323003588142 -0.219096875257049
-0.0279999999999999 -1.40404065733562 -1.01064430182617 -1.24576860291108 -0.203233072366555 0.0174615506819612 -0.156037705799638
-0.0319999999999999 -1.35615421994171 -0.884262553919896 -1.33964423725899 -0.227464854477947 -0.156063683495382 0.212607353119231
-0.0359999999999999 -2.04889753472054 -1.39035506989188 -1.48712987152651 -0.269984040327668 0.221132692658046 -0.0668223337275512
-0.0399999999999999 -1.30691042057582 -0.586178861169941 -1.11767339044665 -0.197418397761967 0.281319900498311 -0.0102041235577061
-0.044 -1.56017429411986 -1.06203791755651 -1.26999452401257 -0.430429422814249 0.121972340875073 -0.0981911220766521
-0.048 -1.26857460266443 -0.555013527039773 -0.934880818770157 -0.236345891929153 -0.0922162787816693 0.157128299956727
-0.052 -1.14924420046447 -0.579683608034982 -0.453991631945195 -0.643785207094642 0.0265319439392615 -0.133961589697002
-0.0560000000000001 -1.68833274538093 -0.804632621513886 -1.26623096705135 -0.389362103907859 -0.189339593126401 0.100872248443966
-0.0600000000000001 -1.78019493579494 -0.606357434449381 -1.20971043935045 -0.459537053357063 -0.0813012186604339 0.123699247221907
-0.0640000000000001 -0.76253083691383 -0.506303687867121 -0.43234034225764 -0.501176698850688 0.105371655653187 0.202395614284345
-0.068 -1.13069245732965 -0.828987469671647 -1.49699841539364 -0.771445264784828 -0.00622429227237354 0.159182035195107
-0.072 -1.95794988103694 -1.23338660190104 -2.02341200825372 -0.66487702720566 -0.146153390831484 0.255290418339596
-0.076 -1.71307035431074 -1.18951965559482 -1.49976764683123 -0.616869588800505 -0.296489318459322 0.152198855277015
-0.08 -0.900964229691952 -0.464204678682305 -0.772598158929187 -0.404326103520905 0.07529692257296 0.261024303378821
-0.084 -1.42321223215674 -1.15997443170443 -1.44614190215831 -0.677802107023269 0.100943607726797 0.347578267225111
-0.088 -1.75735840004267 -1.70664629515302 -1.91522339190305 -0.741550280360398 0.394278552114322 0.246474047652258
-0.092 -1.53208735683204 -1.02750198367978 -1.53980878032976 -0.687460697824927 0.427606344319566 -0.198752173055928
-0.096 -1.01797551804826 -0.412657614646691 -0.53610372082857 -0.607443666039751 0.240752492047689 -0.261911387216032
-0.1 -1.33221587816865 -0.866187195797557 -1.34806180005472 -1.07682818175561 0.562567437380211 -0.0669571870288963
-0.104 -1.27620762204047 -0.586491438780824 -0.662815990761521 -1.11802190965829 0.560565066423645 0.120128743012906
-0.108 -1.81151923628182 -1.10155873881019 -1.48686626345722 -1.03103138136344 0.268249312529463 0.120716964789112
-0.112 -0.711422321094157 -0.0912835425654775 -1.08496489262359 -0.971627163249668 0.0648266721759916 0.253609370538566
-0.116 -0.658983626735705 -0.0785515536386835 -1.07048824422479 -1.05501405483649 0.0276814483593876 0.454145574200325
-0.12 -1.54813215971281 -1.03029380092052 -1.95703514767814 -1.22991553479553 -0.289732998499081 0.18523541242181
-0.124 -1.16112734163288 -0.587159097860435 -1.38200403209209 -1.16690063392611 0.155741989788822 0.131234367955941
-0.128 -1.23772005201544 -0.389422593443683 -1.26722687459365 -1.373236097879 0.150469288248181 0.120143819443098
-0.132 -1.16576970866264 -0.548748106052306 -1.05118874591872 -1.56029789533711 0.0632152509919387 0.137417907985875
-0.136 -1.76730024413272 -0.983672682385293 -1.8340081226619 -1.70877554797542 0.0545665025219615 -0.0268424300184434
-0.14 -1.35254095840189 -0.203354483765427 -0.893653650260682 -1.66723706393213 0.268159159801148 0.106816585370056
-0.144 -1.15668664246215 -0.170166785258278 -1.2470689438898 -1.61373574089063 0.0909939163269153 0.105301331164414
-0.148 -1.39366404127713 -0.780651539402228 -1.21899917278609 -1.35260846510758 0.114223849946717 0.18748836900829
-0.152 -1.3860557062661 -0.716250137115737 -1.17583481932601 -1.12792296063761 -0.0260812792380462 -0.0437933035088654
-0.156 -1.38233434089713 -0.891781704112422 -1.49205458397248 -1.44160902451038 -0.0787077441814631 0.0261809547755938
-0.16 -0.977910999599559 -0.704120806633126 -0.967822807445574 -1.39504019887763 0.0579715360047268 0.0451236147927402
-0.164 -1.19748455751173 -0.813882003687861 -1.17105082162992 -1.51980374223694 0.197239299072686 0.237959603767668
-0.168 -1.45571038571231 -0.847906245420808 -1.14406152138774 -1.75839608515279 0.387048650510858 -0.0496984973827778
-0.172 -1.34992805750787 -1.07480809544704 -1.53077433373196 -1.88360095919533 0.472233946278338 0.071537952472221
-0.176 -1.82123392523787 -1.45808520081567 -2.04880269394932 -2.04639652237469 0.173607579731301 0.432276787643819
-0.18 -1.24129327834968 -0.600204687753989 -1.33420798639794 -1.65257817479721 0.2742946121635 0.166912674653976
-0.184 -1.15803791325012 -0.578290484626682 -0.917769588427969 -1.74018005968132 0.479986330599944 0.118419628447281
-0.188 -1.06900362600281 -0.634585449339404 -1.2523046991311 -1.7992290231551 0.314759873318479 0.0146304846355329
-0.192 -1.38798493888756 -1.15397875005095 -1.34991794223863 -1.83490888278118 0.428806285992057 0.0807780408348333
-0.196 -0.952093116289311 -0.292053652584836 -0.909218570739419 -1.93597658192899 0.663035764167635 -0.0170097941392611
-0.2 -1.22604433782141 -0.724575571729111 -1.44915597892575 -1.90108778626875 0.0552098565486317 -0.0203354207489396
