# Time-averaged data for fix avborn
# TimeStep c_born[1] c_born[2] c_born[3] c_born[4] c_born[5] c_born[6] c_born[7] c_born[8] c_born[9] c_born[10] c_born[11] c_born[12] c_born[13] c_born[14] c_born[15] c_born[16] c_born[17] c_born[18] c_born[19] c_born[20] c_born[21]
3300 376621 372834 158830 588087 593339 238287 -115270 94569.3 132701 -15246.7 -8321.09 96390.6 -135671 6351.51 11552.1 -2060.27 -3559.25 -137.467 8968.8 -5155.4 128607
3400 376946 373930 159011 588336 593121 238561 -115740 94538.9 133282 -13239.2 -7035.08 96524.7 -137102 4958.14 9127.81 -2470.8 -2894.09 -586.841 6298.21 -4257.55 127559
3500 378411 374338 159065 587571 593906 238942 -116264 94851.9 133864 -13690.3 -7127.83 96349.1 -138052 5625.88 8606.81 -2877.1 -2979.6 -916.835 4993.88 -3695.15 127170
3600 380334 376004 159113 588397 596220 239901 -117529 95058.9 134565 -16587 -6951.23 96155.3 -139190 7298.41 8236.87 -3190.89 -3730.29 -904.977 3749.83 -4575.6 127229
3700 380578 376124 158057 588240 595782 240249 -117452 95038.9 134698 -18962.2 -7786.41 95989.7 -139430 8239 8974.55 -4327.92 -4505.08 -1119.76 3697.46 -5536.59 127406
3800 381175 376785 158301 588658 595512 239815 -117994 94852.3 135344 -20743.7 -8888.05 96291.3 -140901 8220.32 10234.9 -5174.97 -5636.32 -1149.25 5011.43 -7438.89 126320
3900 381629 378313 158464 592724 596475 240523 -118651 94799.3 136577 -21886.5 -9975.25 96550.6 -142870 8161.24 11667.9 -5263.16 -6459.36 -1118.58 7276.2 -9430.77 125978
4000 380732 378769 158543 595411 596510 241203 -118723 94605 136716 -21306.7 -10414.3 96772 -142830 7676.82 12208.7 -5111.78 -6543.33 -1044.65 7938.94 -10161 126593
4100 379785 378346 158648 596976 596525 242451 -117776 94612.1 136038 -23442.9 -10600.2 96828.3 -140985 9057.72 12445.4 -4322.16 -6809.47 -883.707 8984.32 -9520.01 127888
4200 379412 377989 158808 596618 595766 242560 -117294 94676.5 135506 -25519.9 -10835.9 96810.9 -140334 10459.2 12853.6 -3994.94 -6985.49 -747.213 10292.7 -8405.1 127981
4300 378290 376963 158931 595327 594107 242335 -116267 94626.5 134924 -25066.8 -10930.8 96879.4 -138913 10478.4 12994.5 -3349.69 -6778.03 -729.984 11260.9 -7785.81 128798
4400 378625 377881 158985 595905 592984 241802 -116688 94394.4 135312 -26159.6 -11201.6 97179.4 -140069 10865.6 13138.1 -3669.26 -7160.21 -719.43 11112.3 -8374.79 127599
4500 377935 377904 159085 594893 591275 241425 -116171 94502 135416 -25008.4 -11506.1 97203.7 -140945 9561.52 13508 -3903.29 -7135.65 -645.412 11485.7 -9757.55 126517
4600 376802 377149 159143 595633 590015 242632 -115035 94475.3 134953 -23942.4 -11353.9 97295.1 -139623 8737.24 13595.3 -3478.98 -7179.52 -420.462 11494.3 -11142.8 127595
4700 375622 376059 159198 595582 588473 242940 -113855 94381.5 133991 -21144.7 -10854.9 97378.9 -137432 7294.17 13343.5 -3003.07 -6682.8 -256.004 12079.7 -11210.3 128310
4800 374954 375056 159344 594553 588475 243216 -113004 94535.4 133348 -19387.2 -10127.1 97312.6 -136001 6353.41 12929 -2369.34 -6340.63 -102.294 12570.3 -10421 129011
4900 375049 374485 159432 593141 588348 242964 -112655 94710.2 133333 -17419.7 -9434.06 97247.7 -135634 5972.39 12761.2 -2091.14 -5668.6 98.4935 13569 -8386.37 129265
5000 374783 373746 159485 591630 587217 242301 -112162 94759 132894 -17133.9 -8850.41 97150 -135634 6139.32 12070.6 -2139.21 -5338.49 155.2 13206.2 -6973 128777
5100 373097 373095 159540 589922 585192 242194 -111305 94792.3 132320 -16247.4 -8406.22 97207.7 -135035 6031.15 11440.1 -2021.5 -4839.17 132.56 12781.1 -6032.57 128635
5200 373057 372608 159581 588071 584702 241601 -110994 94908.9 131993 -15758.1 -8384.77 97124.6 -134526 5611.34 11308 -1954.35 -4794.95 137.96 12788.8 -6079.51 128366
5300 373318 373050 159502 587410 584023 241054 -111303 94757.1 132342 -15484.2 -8110.57 97194.4 -135412 5881.41 10967.5 -2255.78 -4496.32 216.714 13077.2 -4861.96 127962
5400 373014 372894 159578 587580 583550 241191 -111050 94691.8 131830 -15203.9 -7987.39 97249.3 -134773 5969.79 10435.1 -2138.68 -4549.54 62.0119 12370.2 -4252.28 128097
5500 373183 372565 159708 586674 583463 241314 -110763 94872.9 131587 -16052.8 -8092.09 97241.5 -133788 6476.39 10490.1 -1821.56 -4620.86 114.361 12346 -3803.8 128644
5600 373493 372702 159796 587429 584748 241936 -110906 94981.5 131483 -15823.3 -8299.93 97170.9 -133261 5725.7 10690.7 -1606.89 -4678.14 104.339 12799 -4829.38 129110
5700 374039 372668 159815 588378 584813 241865 -111472 94896.1 131929 -15607.8 -8423.1 97272.7 -133909 5224 10521.8 -1977.6 -4721.86 -57.6637 12223.3 -5574.72 128803
5800 374852 372985 159874 587875 585822 241477 -111935 95006.1 131811 -15361.5 -8336.62 97264 -133957 5318.98 10126.8 -2095.71 -4734.75 -118.345 11084.9 -6087.3 128921
5900 374820 372462 159857 586447 585741 241394 -111652 95146.8 131364 -14532.6 -7972.21 97080.8 -133289 4710.55 9589.78 -1818.4 -4722.38 -198.646 10211.9 -6705.64 129448
6000 374042 371739 159901 585394 584929 241336 -110920 95116.7 130797 -15223.3 -8325.22 97101.2 -132384 4713.9 9968.78 -1601.88 -5191.09 -258.503 9888.12 -8135.89 129826
6100 373427 371026 159952 584853 584449 241599 -110208 95140.3 130368 -15342.5 -8065.68 97115.5 -131185 4820.98 9864.31 -1117.01 -5093.37 -206.868 9977.21 -8049.83 130470
6200 372889 370831 160107 586267 584301 242100 -109882 95068.5 130424 -15701.2 -7998.03 97226.3 -130817 4949.16 9718.66 -1010.95 -5231.34 -257.891 9644.38 -8411.3 130869
6300 372420 370542 160261 586532 584032 242308 -109522 95105.5 129929 -15308.2 -7561.7 97231.8 -130119 4868.8 9239.28 -1022.99 -5129.31 -123.943 9814.35 -8177.57 130939
6400 371579 370314 160280 586444 581908 242190 -108954 94916 129867 -15364.2 -7319.81 97411.6 -129997 5368.26 9060.45 -1064.93 -4936.1 2.64127 10087.7 -6945.84 130368
6500 371625 370191 160292 586729 582330 242378 -108959 94941.3 129996 -15781.6 -7159.77 97345.7 -130026 6406.45 8838.31 -1126.78 -4569.97 11.3451 10129.9 -4899.76 130592
6600 371307 370309 160425 588133 581922 242605 -108817 94949.7 130199 -15907.7 -6727.97 97422.1 -130489 7116.18 8043.32 -1308.7 -4023.51 -125.905 9032.19 -3403.06 130348
6700 370582 370829 160481 589779 581439 242885 -108916 94876.3 130402 -16006.2 -6532.2 97562 -131053 7482.28 7902.36 -1373.46 -3813.89 -144.995 8791.64 -2665.78 130148
6800 370151 370929 160509 591218 581060 243362 -108706 94801.7 130644 -16444.5 -6427.07 97646.5 -131224 7876.08 7680.69 -1304.96 -3705.71 -161.323 8449.34 -2328.66 130263
6900 369594 370929 160599 591346 579963 243221 -108362 94839 130698 -16570 -6441.47 97716 -131587 7811.18 7358.86 -1512.97 -3715.17 -274.014 7542.08 -2907.14 129924
7000 368705 370831 160597 591170 578160 242985 -107860 94671.7 130230 -16372 -6475.24 97859.3 -131329 7653.48 7238.49 -1571.07 -3763.61 -309.804 7423.85 -3031.1 129562
7100 368257 370971 160560 591711 577187 242838 -107751 94580.5 130604 -14555.8 -5890.1 97877.5 -132019 6608.59 6645.91 -1680.07 -3405.41 -325.646 6934.01 -2693.15 129061
7200 367683 370588 160523 592003 575981 243015 -107395 94503.2 130809 -13260 -5517.52 97952.9 -132483 5871.25 6356.63 -1657.03 -3253.09 -329.4 6727.17 -2443.02 128254
7300 367390 370363 160522 591674 574989 243083 -107049 94570.8 130941 -12452.7 -5289.94 97895.1 -132755 5324.8 6133.21 -1672.15 -3010.01 -300.63 6633.4 -2344.69 127982
7400 367468 370189 160540 590633 574876 242766 -106950 94647.8 130961 -11453.6 -5127.86 97807.8 -132959 4277.83 5863.89 -1765.66 -3062.86 -282.215 6569.87 -3217.8 127971
7500 367820 370137 160017 589241 575051 242140 -107080 94682.9 130679 -10134.9 -4959.61 97704 -133071 3239.05 5577.86 -1870.71 -3019.45 -299.1 6286.74 -3716.57 127681
7600 367286 369967 159772 588276 575112 241661 -107165 94504.8 130585 -9150.59 -5305.17 97618.1 -133033 2704.12 6034.02 -1832.4 -2635.42 -266.642 6889.27 -4423.28 127503
7700 367051 369921 159769 588109 574907 241603 -107013 94493.3 130581 -9085.94 -5669.72 97619.3 -132907 2369.95 6521.65 -1745.57 -2825.49 -268.293 7127.2 -5413.46 127877
7800 366752 369365 159800 587342 574707 241727 -106528 94586.1 130028 -9597.61 -5882.85 97568.5 -131516 2760.27 6721.16 -1361.79 -2933.89 -322.633 6982.86 -5460.49 128669
7900 366901 369136 159852 586151 574867 241742 -106382 94728.7 129533 -10363.4 -5940.01 97495.7 -130393 3604.02 6848.05 -981.211 -2906.38 -324.289 6960.03 -4964.44 129401
8000 366826 368337 159881 585742 574688 241798 -106182 94806 129191 -10492.5 -5696.67 97410.1 -129326 3826 6537.93 -628.168 -2843.76 -423.976 6620.57 -4439.84 129919
8100 367198 368226 159026 584807 574925 241674 -106204 94819.3 129125 -10886.1 -5824.32 97171 -129266 4242.22 6752.76 -755.013 -2891 -370.14 6828.2 -4119.58 130146
8200 367488 368230 159096 584030 575205 241231 -106322 94882.9 129020 -10497.6 -5579.53 97173.5 -129442 4259.41 6393.71 -881.478 -2753.98 -448.286 6441.71 -3464.21 129837
8300 367522 368314 159154 584558 574840 241361 -106286 94872.5 129247 -10212.7 -5360.12 97199.7 -129528 4245.94 6186.23 -831.155 -2559.96 -326.177 6659.35 -2856.06 130085
8400 367615 368371 159131 584430 575318 241449 -106376 94900.1 129107 -9186.69 -4919.81 97113.1 -129198 3947.35 5780.4 -765.022 -2215.41 -247.29 6469 -2241.57 130382
