# Time-averaged data for fix avvir
# TimeStep c_vir[1] c_vir[2] c_vir[3] c_vir[4] c_vir[5] c_vir[6]
95 -14981.5 18268.9 9545.6 2992.75 -6712.04 -14626.2
96 -10501.8 6709.41 5110.4 891.568 -2178.7 -4061.04
97 -7035.71 308.466 3071.34 657.329 -3399.12 736.617
98 -4526.87 -2481.4 2791.5 751.922 -8423.25 594.357
99 -2142.35 -3627.44 3555.03 1012.86 -13397.1 -2101.66
100 89.6679 -3390.48 4986.36 1625.47 -14439.1 -6382.01
101 1997.24 -1062.25 7211.91 2289.74 -9317.88 -11756.7
102 3137.21 3455 9943.32 2201.03 490.764 -16142.6
103 3396.87 8156.1 11874.3 2005.84 9992.66 -15675.4
104 2723.07 10261.2 11982.5 2996.79 14354.1 -9651.23
105 921.252 9745.75 10439.2 4993.54 11655.6 -3227.74
106 -2548.98 9658.36 8512.84 7324.56 5110.83 -1725.83
107 -7188.84 12209.1 7563.5 9815.33 375.541 -3316.14
108 -10345.6 14915.3 7662.98 11469.8 283.404 -3346.52
109 -11138.8 13681.6 6978.16 8439.1 604.698 -5045.14
110 -11320.4 10683.7 5618.46 2680.2 -2411.27 -11305.4
111 -12664.3 11800.3 5681.36 1651.26 -6995.18 -17410.4
112 -13887.5 15439.8 7179.6 6299.29 -10638.8 -18559.1
113 -13002.5 16406.8 8432.4 11964.5 -11502.7 -14799.1
114 -9493.21 11967.7 8290.82 15123.1 -7658.94 -8690.85
115 -4486.87 4271.35 7052.81 15394.7 715.587 -2160.1
116 237.61 -1638.1 6277.88 15131.5 9853.85 1648.56
117 4221.2 -4846.63 6401.03 14860.5 15412.8 1287.33
118 7821.54 -6466.31 7194.63 13589.3 12443.4 -3843.87
119 10589.5 -6206.24 8120.94 11442.7 -2264.01 -12941.6
120 8881.8 -1292.96 9032.53 10259.4 -22017.5 -23089.5
121 249.431 7963.6 9239.69 10356.7 -34073.8 -28461
122 -10287.6 16596.7 9256.6 9479.47 -33082.6 -25151
123 -14855.8 19226.6 9704.65 5253.78 -25597.7 -16157.5
124 -11508.7 14667.6 10375.8 -2072.25 -17854.6 -8073.45
125 -4778.81 8084.15 10958.4 -8990.28 -12507.3 -6252.72
126 -121.815 4027.17 10955.2 -12430.3 -10140.7 -8531.62
127 1391.12 2415.4 10162 -10745.9 -8976.1 -8274.09
128 792.908 2148.54 8972.64 -5272.5 -7621.18 -3832.63
129 -1620.29 3549.44 8108.39 146.353 -6187.01 1657.02
130 -5192.56 6791.59 7725.39 1942.24 -6735.54 4978
131 -7642.03 9310 7675.81 -425.6 -9833.49 5569.7
132 -6476.55 9458.04 7867.34 -4217.85 -12246.7 4970.36
133 -2271.29 7055.06 8400.38 -5520.88 -9693.46 3610.75
134 2010.52 3225.67 8878.37 -2737.82 -1803.54 2174.17
135 3846.81 1001.13 9564.85 2241.8 6988.56 4373.26
136 3863.68 1478.1 10585.7 6935.23 12453.2 12276.5
137 4493.98 3287.86 11728.8 10598 14599.7 23467.7
138 5815.92 5064.78 12888.3 10330.8 13416.8 29332.6
139 5186.65 5844.35 13249.8 3863.77 8188.58 23671.8
140 2686.63 4585.01 12124.6 -5369.49 67.7143 11366.3
141 1756.64 908.265 9877.09 -11732.7 -5480.53 650.008
142 4883.61 -2824.6 8600.77 -11817.1 -872.154 -4268.51
143 8244.73 -2554.04 9126.76 -9510.54 10306 -8395.14
144 7409.86 1193.17 10056.1 -7046.9 16659.8 -12410.3
145 3122.63 4104.43 9792.78 -3630.03 12873 -14188.7
146 -341.559 3963.16 9081.89 1612.03 3844.01 -14621.4
147 -1372.13 2701.19 8931.43 6431.33 -2650.87 -16271.5
148 -2677.8 2693.29 9016.03 8672.72 -4630.16 -18581.2
149 -5015.64 4030.13 8903.16 8778.69 -2263.69 -18397.1
150 -6312.67 5361.81 9354.64 8602.82 4556.82 -12366.1
151 -4792.9 5528.71 10391 8671.19 12899.8 -1469.96
152 -1041.68 3932.69 11311.5 7931.92 18312.9 8779.91
153 3246.82 553.626 11349 5768.62 19557 14124.6
154 6218.03 -2613.27 10850.1 2946.63 16882.2 13011.8
155 5723.33 -2149.95 10869.1 2693.2 11475.3 8620.35
156 1615.34 3679.21 12212.5 6642.6 4101.1 4503.48
157 -3162.71 11302.5 14500.3 10929.4 -3880.96 4637.58
158 -4552.14 14828.6 16350.7 11178.6 -8849.43 12160.3
159 -1997.89 12330.7 16896.4 7254.84 -8685.23 23364.6
160 2396.89 7052.4 16399.2 2000.83 -4996.62 29432.5
161 6738.27 2398.92 15429 -1375.76 78.3967 25656.1
162 11104.1 -1653.62 14395.3 -1772.56 5041.38 16253.3
163 15688.6 -5935.67 13496 61.5579 7546.24 6630.07
