# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total PotE Temperture
8400 0.496695 0.700738 0.477502 1.67493 -36435.9 377.859
8500 0.496783 0.7304 0.483417 1.7106 -36438.8 385.377
8600 0.525735 0.761764 0.513645 1.80114 -36439.6 384.822
8700 0.563911 0.756085 0.508252 1.82825 -36444.4 386.554
8800 0.567666 0.761044 0.511458 1.84017 -36446.3 387.473
8900 0.578236 0.800722 0.574225 1.95318 -36455 392.009
9000 0.578491 0.838055 0.597174 2.01372 -36450.7 386.587
9100 0.556198 0.8624 0.602214 2.02081 -36451.1 389.7
9200 0.541859 0.844858 0.584218 1.97094 -36451.3 389.501
9300 0.548921 0.834446 0.58701 1.97038 -36464.5 398.393
9400 0.575841 0.87846 0.546228 2.00053 -36460.8 393.063
9500 0.582621 0.83979 0.523379 1.94579 -36447.9 383.132
9600 0.567918 0.781478 0.524475 1.87387 -36454.7 394.873
9700 0.571461 0.784374 0.542976 1.89881 -36455.6 394.16
9800 0.567966 0.793576 0.543864 1.90541 -36463.3 401.434
9900 0.576975 0.799789 0.550411 1.92717 -36465.2 401.79
10000 0.610795 0.835651 0.568361 2.01481 -36448.8 390.045
10100 0.654081 0.873357 0.556462 2.0839 -36443.8 393.042
10200 0.641745 0.870831 0.541397 2.05397 -36455.5 406.931
10300 0.651623 0.877701 0.532309 2.06163 -36453.4 402.031
10400 0.641329 0.887127 0.529571 2.05803 -36457.4 403.23
10500 0.632668 0.895937 0.522052 2.05066 -36455.6 405.024
10600 0.621565 0.914428 0.511103 2.0471 -36456.5 406.436
10700 0.595091 0.89524 0.529933 2.02026 -36468 414.451
10800 0.626171 0.893541 0.539717 2.05943 -36468.4 409.092
10900 0.65407 0.889125 0.568922 2.11212 -36464.5 407.537
11000 0.628396 0.859349 0.585324 2.07307 -36468.7 412.25
11100 0.631347 0.885793 0.610805 2.12794 -36449.4 401.769
11200 0.656099 0.937631 0.606117 2.19985 -36453 409.57
11300 0.685899 0.927196 0.631488 2.24458 -36449.7 407.59
11400 0.649112 0.950367 0.631662 2.23114 -36450.6 412.362
11500 0.623531 0.945761 0.610786 2.18008 -36446.9 412.143
11600 0.648493 0.927412 0.593417 2.16932 -36447.5 415.331
11700 0.645357 0.950415 0.597281 2.19305 -36457.4 420.31
11800 0.610335 0.95506 0.569862 2.13526 -36446 412.771
11900 0.631621 0.924238 0.5646 2.12046 -36447.4 415.066
12000 0.638979 0.909 0.572497 2.12048 -36441.2 414.506
12100 0.621641 0.911208 0.581094 2.11394 -36440.9 417.491
12200 0.643384 0.888068 0.572807 2.10426 -36438.6 419.853
12300 0.686988 0.907484 0.574859 2.16933 -36438 423.024
12400 0.707934 0.972229 0.594263 2.27443 -36446.6 429.658
12500 0.667914 0.953348 0.592666 2.21393 -36439.3 421.411
12600 0.664756 0.923425 0.592439 2.18062 -36430.8 419.97
12700 0.667593 0.913076 0.569883 2.15055 -36450.1 437.05
12800 0.645348 0.912976 0.553618 2.11194 -36455 431.198
12900 0.656327 0.936929 0.587344 2.1806 -36456 431.172
13000 0.686331 1.00478 0.601631 2.29275 -36453.5 427.561
13100 0.706978 1.0222 0.597449 2.32662 -36456.7 430.217
13200 0.710671 1.01739 0.590021 2.31809 -36456.6 432.343
13300 0.698286 1.02749 0.5652 2.29097 -36450.2 426.466
13400 0.692703 1.02451 0.554169 2.27138 -36433.3 421.178
13500 0.687533 0.979788 0.568972 2.23629 -36438.4 434.133
13600 0.661226 0.955301 0.60492 2.22145 -36430 429.966
13700 0.642645 0.922825 0.621777 2.18725 -36432.7 434.755
13800 0.655075 0.938644 0.61182 2.20554 -36432.2 439.702
13900 0.683605 0.968027 0.620355 2.27199 -36439.9 443.14
14000 0.666906 0.996223 0.627236 2.29036 -36437.9 436.19
14100 0.639331 0.994915 0.618211 2.25246 -36433.2 435.63
14200 0.60508 1.00357 0.612931 2.22158 -36431.8 439.049
14300 0.599099 0.982735 0.636088 2.21792 -36428.1 440.305
14400 0.637535 0.982882 0.637181 2.2576 -36418.3 435.439
14500 0.652168 0.976686 0.64916 2.27801 -36430.4 446.803
14600 0.673851 0.971199 0.646383 2.29143 -36438.7 451.457
14700 0.698239 1.01248 0.656426 2.36714 -36453.9 454.96
14800 0.709008 1.03177 0.637673 2.37845 -36455.9 450.391
