# Structure               Density         msd                   
333-EXP-11-vasp          16.0755         59.5133
333-EXP-1-vasp           16.6096         51.0535
333-EXP-27-vasp          16.498          53.3243
333-EXP-6-vasp           16.771          46.0693
333-HD-100C-11-VASP      17.6074         26.1301
333-HD-100C-14-VASP      17.2465         33.6242
333-HD-100C-20-VASP      16.909          15.6253
333-RV-31-vasp           17.5034         123.206
333-RV-32-vasp           17.5248         113.2
333U-50C-14-vasp         18.6403         64.1455
333U-50C-1-vasp          17.5867         51.1071
333U-50C-20-vasp         17.0085         64.3396
333U-50C-26-vasp         17.4642         70.5515
333U-50C-33-vasp         18.3222         46.4461
333U-50C-48-vasp         17.3161         80.3967
333U-50C-5-vasp          17.6383         62.4244
333U-50C-9-vasp          17.3502         43.3331
